 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    3.3771,    -99.00,      8.82,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    3.4191,    -99.00,      8.82,    -99.00,      0.00,      6.95,      0.00,    301.90,    340.05,    368.81,
    3.4606,    -99.00,      8.82,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    3.5025,    -99.00,      8.83,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    3.5441,    -99.00,      8.83,    -99.00,      0.00,      6.92,      0.00,    301.90,    340.05,    368.81,
    3.5859,    -99.00,      8.83,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    3.6278,    -99.00,      8.83,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    3.6691,    -99.00,      8.83,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    3.7111,    -99.00,      8.83,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    3.7525,    -99.00,      8.83,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    3.7941,    -99.00,      8.83,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    3.8361,    -99.00,      8.83,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    3.8779,    -99.00,      8.83,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    3.9191,    -99.00,      8.83,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    3.9611,    -99.00,      8.83,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    4.0028,    -99.00,      8.82,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
    4.0448,    -99.00,      8.82,    -99.00,      0.00,      6.93,      0.00,    301.90,    340.05,    368.81,
    4.0861,    -99.00,      8.81,    -99.00,      0.00,      6.94,      0.00,    301.90,    340.05,    368.81,
