$Trinity Br1 inflow year 2019 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
12.542,22.96474586
12.583,22.96474586
12.625,22.96474586
12.667,22.96474586
12.708,22.96474586
12.75,22.96474586
12.792,22.96474586
12.833,22.96474586
12.875,22.96474586
12.917,22.96474586
12.958,22.96474586
13,18.03766105
13.042,18.03766105
13.083,18.03766105
13.125,18.03766105
13.167,18.03766105
13.208,18.03766105
13.25,18.03766105
13.292,18.03766105
13.333,18.03766105
13.375,18.03766105
13.417,18.03766105
13.458,18.03766105
13.5,18.03766105
13.542,18.03766105
13.583,18.03766105
13.625,18.03766105
13.667,18.03766105
13.708,18.03766105
13.75,18.03766105
13.792,18.03766105
13.833,18.03766105
13.875,18.03766105
13.917,18.03766105
13.958,18.03766105
14,15.71570154
14.042,15.71570154
14.083,15.71570154
14.125,15.71570154
14.167,15.71570154
14.208,15.71570154
14.25,15.71570154
14.292,15.71570154
14.333,15.71570154
14.375,15.71570154
14.417,15.71570154
14.458,15.71570154
14.5,15.71570154
14.542,15.71570154
14.583,15.71570154
14.625,15.71570154
14.667,15.71570154
14.708,15.71570154
14.75,15.71570154
14.792,15.71570154
14.833,15.71570154
14.875,15.71570154
14.917,15.71570154
14.958,15.71570154
15,17.78281184
15.042,17.78281184
15.083,17.78281184
15.125,17.78281184
15.167,17.78281184
15.208,17.78281184
15.25,17.78281184
15.292,17.78281184
15.333,17.78281184
15.375,17.78281184
15.417,17.78281184
15.458,17.78281184
15.5,17.78281184
15.542,17.78281184
15.583,17.78281184
15.625,17.78281184
15.667,17.78281184
15.708,17.78281184
15.75,17.78281184
15.792,17.78281184
15.833,17.78281184
15.875,17.78281184
15.917,17.78281184
15.958,17.78281184
16,53.99971683
16.042,53.99971683
16.083,53.99971683
16.125,53.99971683
16.167,53.99971683
16.208,53.99971683
16.25,53.99971683
16.292,53.99971683
16.333,53.99971683
16.375,53.99971683
16.417,53.99971683
16.458,53.99971683
16.5,53.99971683
16.542,53.99971683
16.583,53.99971683
16.625,53.99971683
16.667,53.99971683
16.708,53.99971683
16.75,53.99971683
16.792,53.99971683
16.833,53.99971683
16.875,53.99971683
16.917,53.99971683
16.958,53.99971683
17,93.52966162
17.042,93.52966162
17.083,93.52966162
17.125,93.52966162
17.167,93.52966162
17.208,93.52966162
17.25,93.52966162
17.292,93.52966162
17.333,93.52966162
17.375,93.52966162
17.417,93.52966162
17.458,93.52966162
17.5,93.52966162
17.542,93.52966162
17.583,93.52966162
17.625,93.52966162
17.667,93.52966162
17.708,93.52966162
17.75,93.52966162
17.792,93.52966162
17.833,93.52966162
17.875,93.52966162
17.917,93.52966162
17.958,93.52966162
18,51.96092312
18.042,51.96092312
18.083,51.96092312
18.125,51.96092312
18.167,51.96092312
18.208,51.96092312
18.25,51.96092312
18.292,51.96092312
18.333,51.96092312
18.375,51.96092312
18.417,51.96092312
18.458,51.96092312
18.5,51.96092312
18.542,51.96092312
18.583,51.96092312
18.625,51.96092312
18.667,51.96092312
