$Trinity Br4 inflow year 2019 YC the same Tw as Stuart Fork 06/1/23,
",,,",
Jday,Stuart
317.042,6.32
317.083,6.32
317.125,6.32
317.167,6.32
317.208,6.32
317.25,6.32
317.292,6.32
317.333,6.32
317.375,6.32
317.417,6.32
317.458,6.32
317.5,6.32
317.542,6.32
317.583,6.32
317.625,6.32
317.667,6.32
317.708,6.32
317.75,6.32
317.792,6.32
317.833,6.32
317.875,6.32
317.917,6.32
317.958,6.32
318,6.86
318.042,6.86
318.083,6.86
318.125,6.86
318.167,6.86
318.208,6.86
318.25,6.86
318.292,6.86
318.333,6.86
318.375,6.86
318.417,6.86
318.458,6.86
318.5,6.86
318.542,6.86
318.583,6.86
318.625,6.86
318.667,6.86
318.708,6.86
318.75,6.86
318.792,6.86
318.833,6.86
318.875,6.86
318.917,6.86
318.958,6.86
319,7.75
319.042,7.75
319.083,7.75
319.125,7.75
319.167,7.75
319.208,7.75
319.25,7.75
319.292,7.75
319.333,7.75
319.375,7.75
319.417,7.75
319.458,7.75
319.5,7.75
319.542,7.75
319.583,7.75
319.625,7.75
319.667,7.75
319.708,7.75
319.75,7.75
319.792,7.75
319.833,7.75
319.875,7.75
319.917,7.75
319.958,7.75
320,7.42
320.042,7.42
320.083,7.42
320.125,7.42
320.167,7.42
320.208,7.42
320.25,7.42
320.292,7.42
320.333,7.42
320.375,7.42
320.417,7.42
320.458,7.42
320.5,7.42
320.542,7.42
320.583,7.42
320.625,7.42
320.667,7.42
320.708,7.42
320.75,7.42
320.792,7.42
320.833,7.42
320.875,7.42
320.917,7.42
320.958,7.42
321,6.48
321.042,6.48
321.083,6.48
321.125,6.48
321.167,6.48
321.208,6.48
321.25,6.48
321.292,6.48
321.333,6.48
321.375,6.48
321.417,6.48
321.458,6.48
321.5,6.48
321.542,6.48
321.583,6.48
321.625,6.48
321.667,6.48
321.708,6.48
321.75,6.48
321.792,6.48
321.833,6.48
321.875,6.48
321.917,6.48
321.958,6.48
322,6.44
322.042,6.44
322.083,6.44
322.125,6.44
322.167,6.44
322.208,6.44
322.25,6.44
322.292,6.44
322.333,6.44
322.375,6.44
322.417,6.44
322.458,6.44
322.5,6.44
322.542,6.44
322.583,6.44
322.625,6.44
322.667,6.44
322.708,6.44
322.75,6.44
322.792,6.44
322.833,6.44
322.875,6.44
322.917,6.44
322.958,6.44
323,7.27
323.042,7.27
323.083,7.27
323.125,7.27
323.167,7.27
323.208,7.27
323.25,7.27
323.292,7.27
323.333,7.27
323.375,7.27
323.417,7.27
323.458,7.27
323.5,7.27
323.542,7.27
323.583,7.27
323.625,7.27
323.667,7.27
323.708,7.27
323.75,7.27
323.792,7.27
323.833,7.27
323.875,7.27
323.917,7.27
323.958,7.27
324,6.68
324.042,6.68
324.083,6.68
324.125,6.68
324.167,6.68
324.208,6.68
324.25,6.68
324.292,6.68
324.333,6.68
324.375,6.68
324.417,6.68
324.458,6.68
324.5,6.68
324.542,6.68
324.583,6.68
324.625,6.68
324.667,6.68
324.708,6.68
324.75,6.68
324.792,6.68
324.833,6.68
324.875,6.68
324.917,6.68
324.958,6.68
325,5.14
325.042,5.14
325.083,5.14
325.125,5.14
325.167,5.14
325.208,5.14
325.25,5.14
325.292,5.14
325.333,5.14
325.375,5.14
325.417,5.14
325.458,5.14
325.5,5.14
325.542,5.14
325.583,5.14
325.625,5.14
325.667,5.14
325.708,5.14
325.75,5.14
325.792,5.14
325.833,5.14
325.875,5.14
325.917,5.14
325.958,5.14
326,4.26
326.042,4.26
326.083,4.26
326.125,4.26
326.167,4.26
326.208,4.26
326.25,4.26
326.292,4.26
326.333,4.26
326.375,4.26
326.417,4.26
326.458,4.26
326.5,4.26
326.542,4.26
326.583,4.26
326.625,4.26
326.667,4.26
326.708,4.26
326.75,4.26
326.792,4.26
326.833,4.26
326.875,4.26
326.917,4.26
326.958,4.26
327,3.83
327.042,3.83
327.083,3.83
327.125,3.83
327.167,3.83
327.208,3.83
327.25,3.83
327.292,3.83
327.333,3.83
327.375,3.83
327.417,3.83
327.458,3.83
327.5,3.83
327.542,3.83
327.583,3.83
327.625,3.83
327.667,3.83
327.708,3.83
327.75,3.83
327.792,3.83
327.833,3.83
327.875,3.83
327.917,3.83
327.958,3.83
328,3.68
328.042,3.68
328.083,3.68
328.125,3.68
328.167,3.68
328.208,3.68
328.25,3.68
328.292,3.68
328.333,3.68
328.375,3.68
328.417,3.68
328.458,3.68
328.5,3.68
328.542,3.68
328.583,3.68
328.625,3.68
328.667,3.68
328.708,3.68
328.75,3.68
328.792,3.68
328.833,3.68
328.875,3.68
328.917,3.68
328.958,3.68
329,4.08
329.042,4.08
329.083,4.08
329.125,4.08
329.167,4.08
329.208,4.08
329.25,4.08
329.292,4.08
329.333,4.08
329.375,4.08
329.417,4.08
329.458,4.08
329.5,4.08
329.542,4.08
329.583,4.08
329.625,4.08
329.667,4.08
329.708,4.08
329.75,4.08
329.792,4.08
329.833,4.08
329.875,4.08
329.917,4.08
329.958,4.08
330,1.52
330.042,1.52
330.083,1.52
330.125,1.52
330.167,1.52
330.208,1.52
330.25,1.52
330.292,1.52
330.333,1.52
330.375,1.52
330.417,1.52
330.458,1.52
330.5,1.52
330.542,1.52
330.583,1.52
330.625,1.52
330.667,1.52
330.708,1.52
330.75,1.52
330.792,1.52
330.833,1.52
330.875,1.52
330.917,1.52
330.958,1.52
331,1.9
331.042,1.9
331.083,1.9
331.125,1.9
331.167,1.9
331.208,1.9
331.25,1.9
331.292,1.9
331.333,1.9
331.375,1.9
331.417,1.9
331.458,1.9
331.5,1.9
331.542,1.9
331.583,1.9
331.625,1.9
331.667,1.9
331.708,1.9
331.75,1.9
331.792,1.9
331.833,1.9
331.875,1.9
331.917,1.9
331.958,1.9
332,2.75
332.042,2.75
332.083,2.75
332.125,2.75
332.167,2.75
332.208,2.75
332.25,2.75
332.292,2.75
332.333,2.75
332.375,2.75
332.417,2.75
332.458,2.75
332.5,2.75
332.542,2.75
332.583,2.75
332.625,2.75
332.667,2.75
332.708,2.75
332.75,2.75
332.792,2.75
332.833,2.75
332.875,2.75
332.917,2.75
332.958,2.75
333,2.35
333.042,2.35
333.083,2.35
333.125,2.35
333.167,2.35
333.208,2.35
333.25,2.35
333.292,2.35
333.333,2.35
333.375,2.35
333.417,2.35
333.458,2.35
333.5,2.35
333.542,2.35
333.583,2.35
333.625,2.35
333.667,2.35
333.708,2.35
333.75,2.35
333.792,2.35
333.833,2.35
333.875,2.35
333.917,2.35
333.958,2.35
334,2.01
334.042,2.01
334.083,2.01
334.125,2.01
334.167,2.01
334.208,2.01
334.25,2.01
334.292,2.01
334.333,2.01
334.375,2.01
334.417,2.01
334.458,2.01
334.5,2.01
334.542,2.01
334.583,2.01
334.625,2.01
334.667,2.01
334.708,2.01
334.75,2.01
334.792,2.01
334.833,2.01
334.875,2.01
334.917,2.01
334.958,2.01
335,2.61
335.042,2.61
335.083,2.61
335.125,2.61
335.167,2.61
335.208,2.61
335.25,2.61
335.292,2.61
335.333,2.61
335.375,2.61
335.417,2.61
335.458,2.61
335.5,2.61
335.542,2.61
335.583,2.61
335.625,2.61
335.667,2.61
335.708,2.61
335.75,2.61
335.792,2.61
335.833,2.61
335.875,2.61
335.917,2.61
335.958,2.61
336,3.82
336.042,3.82
336.083,3.82
336.125,3.82
336.167,3.82
336.208,3.82
336.25,3.82
336.292,3.82
336.333,3.82
336.375,3.82
336.417,3.82
336.458,3.82
336.5,3.82
336.542,3.82
336.583,3.82
336.625,3.82
336.667,3.82
336.708,3.82
336.75,3.82
336.792,3.82
336.833,3.82
336.875,3.82
336.917,3.82
336.958,3.82
337,4.45
337.042,4.45
337.083,4.45
337.125,4.45
337.167,4.45
337.208,4.45
337.25,4.45
337.292,4.45
337.333,4.45
337.375,4.45
337.417,4.45
337.458,4.45
337.5,4.45
337.542,4.45
337.583,4.45
337.625,4.45
337.667,4.45
337.708,4.45
337.75,4.45
337.792,4.45
337.833,4.45
337.875,4.45
337.917,4.45
337.958,4.45
338,4.48
338.042,4.48
338.083,4.48
338.125,4.48
338.167,4.48
338.208,4.48
338.25,4.48
338.292,4.48
338.333,4.48
338.375,4.48
338.417,4.48
338.458,4.48
338.5,4.48
338.542,4.48
338.583,4.48
338.625,4.48
338.667,4.48
338.708,4.48
338.75,4.48
338.792,4.48
338.833,4.48
338.875,4.48
338.917,4.48
338.958,4.48
339,5.14
339.042,5.14
339.083,5.14
339.125,5.14
339.167,5.14
339.208,5.14
339.25,5.14
339.292,5.14
339.333,5.14
339.375,5.14
339.417,5.14
339.458,5.14
339.5,5.14
339.542,5.14
339.583,5.14
339.625,5.14
339.667,5.14
339.708,5.14
339.75,5.14
339.792,5.14
339.833,5.14
339.875,5.14
339.917,5.14
339.958,5.14
340,5.7
340.042,5.7
340.083,5.7
340.125,5.7
340.167,5.7
340.208,5.7
340.25,5.7
340.292,5.7
340.333,5.7
340.375,5.7
340.417,5.7
340.458,5.7
340.5,5.7
340.542,5.7
340.583,5.7
340.625,5.7
340.667,5.7
340.708,5.7
340.75,5.7
340.792,5.7
340.833,5.7
340.875,5.7
340.917,5.7
340.958,5.7
341,4.77
341.042,4.77
341.083,4.77
341.125,4.77
341.167,4.77
341.208,4.77
341.25,4.77
341.292,4.77
341.333,4.77
341.375,4.77
341.417,4.77
341.458,4.77
341.5,4.77
341.542,4.77
341.583,4.77
341.625,4.77
341.667,4.77
341.708,4.77
341.75,4.77
341.792,4.77
341.833,4.77
341.875,4.77
341.917,4.77
341.958,4.77
342,5.11
342.042,5.11
342.083,5.11
342.125,5.11
342.167,5.11
342.208,5.11
342.25,5.11
342.292,5.11
342.333,5.11
342.375,5.11
342.417,5.11
342.458,5.11
342.5,5.11
342.542,5.11
342.583,5.11
342.625,5.11
342.667,5.11
342.708,5.11
342.75,5.11
342.792,5.11
342.833,5.11
342.875,5.11
342.917,5.11
342.958,5.11
343,4.8
343.042,4.8
343.083,4.8
343.125,4.8
343.167,4.8
343.208,4.8
343.25,4.8
343.292,4.8
343.333,4.8
343.375,4.8
343.417,4.8
343.458,4.8
343.5,4.8
343.542,4.8
343.583,4.8
343.625,4.8
343.667,4.8
343.708,4.8
343.75,4.8
343.792,4.8
343.833,4.8
343.875,4.8
343.917,4.8
343.958,4.8
344,4.48
344.042,4.48
344.083,4.48
344.125,4.48
344.167,4.48
344.208,4.48
344.25,4.48
344.292,4.48
344.333,4.48
344.375,4.48
344.417,4.48
344.458,4.48
344.5,4.48
344.542,4.48
344.583,4.48
344.625,4.48
344.667,4.48
344.708,4.48
344.75,4.48
344.792,4.48
344.833,4.48
344.875,4.48
344.917,4.48
344.958,4.48
345,4.73
345.042,4.73
345.083,4.73
345.125,4.73
345.167,4.73
345.208,4.73
345.25,4.73
345.292,4.73
345.333,4.73
345.375,4.73
345.417,4.73
345.458,4.73
345.5,4.73
345.542,4.73
345.583,4.73
345.625,4.73
345.667,4.73
345.708,4.73
345.75,4.73
345.792,4.73
345.833,4.73
345.875,4.73
345.917,4.73
345.958,4.73
346,4.93
346.042,4.93
346.083,4.93
346.125,4.93
346.167,4.93
346.208,4.93
346.25,4.93
346.292,4.93
346.333,4.93
346.375,4.93
346.417,4.93
346.458,4.93
346.5,4.93
346.542,4.93
346.583,4.93
346.625,4.93
346.667,4.93
346.708,4.93
346.75,4.93
346.792,4.93
346.833,4.93
346.875,4.93
346.917,4.93
346.958,4.93
347,4.87
347.042,4.87
347.083,4.87
347.125,4.87
347.167,4.87
347.208,4.87
347.25,4.87
347.292,4.87
347.333,4.87
347.375,4.87
347.417,4.87
347.458,4.87
347.5,4.87
347.542,4.87
347.583,4.87
347.625,4.87
347.667,4.87
347.708,4.87
347.75,4.87
347.792,4.87
347.833,4.87
347.875,4.87
347.917,4.87
347.958,4.87
348,4.33
348.042,4.33
348.083,4.33
348.125,4.33
348.167,4.33
348.208,4.33
348.25,4.33
348.292,4.33
348.333,4.33
348.375,4.33
348.417,4.33
348.458,4.33
348.5,4.33
348.542,4.33
348.583,4.33
348.625,4.33
348.667,4.33
348.708,4.33
348.75,4.33
348.792,4.33
348.833,4.33
348.875,4.33
348.917,4.33
348.958,4.33
349,3.61
349.042,3.61
349.083,3.61
349.125,3.61
349.167,3.61
349.208,3.61
349.25,3.61
349.292,3.61
349.333,3.61
349.375,3.61
349.417,3.61
349.458,3.61
349.5,3.61
349.542,3.61
349.583,3.61
349.625,3.61
349.667,3.61
349.708,3.61
349.75,3.61
349.792,3.61
349.833,3.61
349.875,3.61
349.917,3.61
349.958,3.61
350,3.39
350.042,3.39
350.083,3.39
350.125,3.39
350.167,3.39
350.208,3.39
350.25,3.39
350.292,3.39
350.333,3.39
350.375,3.39
350.417,3.39
350.458,3.39
350.5,3.39
350.542,3.39
350.583,3.39
350.625,3.39
350.667,3.39
350.708,3.39
350.75,3.39
350.792,3.39
350.833,3.39
350.875,3.39
350.917,3.39
350.958,3.39
351,2.68
351.042,2.68
351.083,2.68
351.125,2.68
351.167,2.68
351.208,2.68
351.25,2.68
351.292,2.68
351.333,2.68
351.375,2.68
351.417,2.68
351.458,2.68
351.5,2.68
351.542,2.68
351.583,2.68
351.625,2.68
351.667,2.68
351.708,2.68
351.75,2.68
351.792,2.68
351.833,2.68
351.875,2.68
351.917,2.68
351.958,2.68
352,3.2
352.042,3.2
352.083,3.2
352.125,3.2
352.167,3.2
352.208,3.2
352.25,3.2
352.292,3.2
352.333,3.2
352.375,3.2
352.417,3.2
352.458,3.2
352.5,3.2
352.542,3.2
352.583,3.2
352.625,3.2
352.667,3.2
352.708,3.2
352.75,3.2
352.792,3.2
352.833,3.2
352.875,3.2
352.917,3.2
352.958,3.2
353,3.9
353.042,3.9
353.083,3.9
353.125,3.9
353.167,3.9
353.208,3.9
353.25,3.9
353.292,3.9
353.333,3.9
353.375,3.9
353.417,3.9
353.458,3.9
353.5,3.9
353.542,3.9
353.583,3.9
353.625,3.9
353.667,3.9
353.708,3.9
353.75,3.9
353.792,3.9
353.833,3.9
353.875,3.9
353.917,3.9
353.958,3.9
354,4.25
354.042,4.25
354.083,4.25
354.125,4.25
354.167,4.25
354.208,4.25
354.25,4.25
354.292,4.25
354.333,4.25
354.375,4.25
354.417,4.25
354.458,4.25
354.5,4.25
354.542,4.25
354.583,4.25
354.625,4.25
354.667,4.25
354.708,4.25
354.75,4.25
354.792,4.25
354.833,4.25
354.875,4.25
354.917,4.25
354.958,4.25
355,4.36
355.042,4.36
355.083,4.36
355.125,4.36
355.167,4.36
355.208,4.36
355.25,4.36
355.292,4.36
355.333,4.36
355.375,4.36
355.417,4.36
355.458,4.36
355.5,4.36
355.542,4.36
355.583,4.36
355.625,4.36
355.667,4.36
355.708,4.36
355.75,4.36
355.792,4.36
355.833,4.36
355.875,4.36
355.917,4.36
355.958,4.36
356,4.22
356.042,4.22
356.083,4.22
356.125,4.22
356.167,4.22
356.208,4.22
356.25,4.22
356.292,4.22
356.333,4.22
356.375,4.22
356.417,4.22
356.458,4.22
356.5,4.22
356.542,4.22
356.583,4.22
356.625,4.22
356.667,4.22
356.708,4.22
356.75,4.22
356.792,4.22
356.833,4.22
356.875,4.22
356.917,4.22
356.958,4.22
357,3.26
357.042,3.26
357.083,3.26
357.125,3.26
357.167,3.26
357.208,3.26
357.25,3.26
357.292,3.26
357.333,3.26
357.375,3.26
357.417,3.26
357.458,3.26
357.5,3.26
357.542,3.26
357.583,3.26
357.625,3.26
357.667,3.26
357.708,3.26
357.75,3.26
357.792,3.26
357.833,3.26
357.875,3.26
357.917,3.26
357.958,3.26
358,2.73
358.042,2.73
358.083,2.73
358.125,2.73
358.167,2.73
358.208,2.73
358.25,2.73
358.292,2.73
358.333,2.73
358.375,2.73
358.417,2.73
358.458,2.73
358.5,2.73
358.542,2.73
358.583,2.73
358.625,2.73
358.667,2.73
358.708,2.73
358.75,2.73
358.792,2.73
358.833,2.73
358.875,2.73
358.917,2.73
358.958,2.73
359,2.8
359.042,2.8
359.083,2.8
359.125,2.8
359.167,2.8
359.208,2.8
359.25,2.8
359.292,2.8
359.333,2.8
359.375,2.8
359.417,2.8
359.458,2.8
359.5,2.8
359.542,2.8
359.583,2.8
359.625,2.8
359.667,2.8
359.708,2.8
359.75,2.8
359.792,2.8
359.833,2.8
359.875,2.8
359.917,2.8
359.958,2.8
360,2.62
360.042,2.62
360.083,2.62
360.125,2.62
360.167,2.62
360.208,2.62
360.25,2.62
360.292,2.62
360.333,2.62
360.375,2.62
360.417,2.62
360.458,2.62
360.5,2.62
360.542,2.62
360.583,2.62
360.625,2.62
360.667,2.62
360.708,2.62
360.75,2.62
360.792,2.62
360.833,2.62
360.875,2.62
360.917,2.62
360.958,2.62
361,1.68
361.042,1.68
361.083,1.68
361.125,1.68
361.167,1.68
361.208,1.68
361.25,1.68
361.292,1.68
361.333,1.68
361.375,1.68
361.417,1.68
361.458,1.68
361.5,1.68
361.542,1.68
361.583,1.68
361.625,1.68
361.667,1.68
361.708,1.68
361.75,1.68
361.792,1.68
361.833,1.68
361.875,1.68
361.917,1.68
361.958,1.68
362,1.94
362.042,1.94
362.083,1.94
362.125,1.94
362.167,1.94
362.208,1.94
362.25,1.94
362.292,1.94
362.333,1.94
362.375,1.94
362.417,1.94
362.458,1.94
362.5,1.94
362.542,1.94
362.583,1.94
362.625,1.94
362.667,1.94
362.708,1.94
362.75,1.94
362.792,1.94
362.833,1.94
362.875,1.94
362.917,1.94
362.958,1.94
363,2.6
363.042,2.6
363.083,2.6
363.125,2.6
363.167,2.6
363.208,2.6
363.25,2.6
363.292,2.6
363.333,2.6
363.375,2.6
363.417,2.6
363.458,2.6
363.5,2.6
363.542,2.6
363.583,2.6
363.625,2.6
363.667,2.6
363.708,2.6
363.75,2.6
363.792,2.6
363.833,2.6
363.875,2.6
363.917,2.6
363.958,2.6
364,3.39
364.042,3.39
364.083,3.39
364.125,3.39
364.167,3.39
364.208,3.39
364.25,3.39
364.292,3.39
364.333,3.39
364.375,3.39
364.417,3.39
364.458,3.39
364.5,3.39
364.542,3.39
364.583,3.39
364.625,3.39
364.667,3.39
364.708,3.39
364.75,3.39
364.792,3.39
364.833,3.39
364.875,3.39
364.917,3.39
364.958,3.39
365,3.27
365.042,3.27
365.083,3.27
365.125,3.27
365.167,3.27
365.208,3.27
365.25,3.27
365.292,3.27
365.333,3.27
365.375,3.27
365.417,3.27
365.458,3.27
365.5,3.27
365.542,3.27
365.583,3.27
365.625,3.27
365.667,3.27
365.708,3.27
365.75,3.27
365.792,3.27
365.833,3.27
365.875,3.27
365.917,3.27
365.958,3.27
366,3.88
