Constituent,Julian_day,Seg_50 ,Seg_51 ,Seg_52 ,Seg_77 ,Seg_78 ,Seg_79 ,Seg_72 ,Seg_107,
Temperature,     1.000,       9.000,       9.000,       9.000,       9.000,       9.000,       9.000,       9.000,       9.000,
Temperature,     1.042,       8.993,       8.994,       8.995,       8.997,       8.997,       8.996,       8.997,       8.998,
Temperature,     1.083,       8.986,       8.988,       8.989,       8.994,       8.994,       8.992,       8.994,       8.995,
Temperature,     1.125,       8.978,       8.980,       8.982,       8.991,       8.990,       8.987,       8.990,       8.992,
Temperature,     1.167,       8.969,       8.973,       8.974,       8.987,       8.986,       8.982,       8.986,       8.988,
Temperature,     1.208,       8.959,       8.964,       8.965,       8.983,       8.981,       8.977,       8.982,       8.985,
Temperature,     1.250,       8.949,       8.954,       8.956,       8.979,       8.977,       8.971,       8.977,       8.981,
Temperature,     1.292,       8.939,       8.944,       8.947,       8.974,       8.972,       8.965,       8.972,       8.976,
Temperature,     1.333,       8.929,       8.935,       8.937,       8.970,       8.967,       8.959,       8.967,       8.972,
Temperature,     1.375,       8.923,       8.929,       8.932,       8.967,       8.964,       8.955,       8.964,       8.970,
Temperature,     1.417,       8.928,       8.932,       8.934,       8.969,       8.966,       8.958,       8.966,       8.971,
Temperature,     1.458,       8.943,       8.945,       8.945,       8.974,       8.973,       8.966,       8.972,       8.976,
Temperature,     1.500,       8.968,       8.967,       8.962,       8.983,       8.984,       8.978,       8.982,       8.984,
Temperature,     1.542,       8.998,       8.993,       8.984,       8.994,       8.997,       8.994,       8.994,       8.993,
Temperature,     1.583,       9.027,       9.023,       9.007,       9.005,       9.009,       9.009,       9.006,       9.004,
Temperature,     1.625,       9.044,       9.046,       9.030,       9.012,       9.020,       9.023,       9.016,       9.014,
Temperature,     1.667,       9.045,       9.061,       9.049,       9.015,       9.027,       9.033,       9.024,       9.019,
Temperature,     1.708,       9.032,       9.089,       9.074,       9.012,       9.024,       9.037,       9.029,       9.016,
Temperature,     1.750,       9.023,       9.133,       9.095,       9.008,       9.015,       9.037,       9.029,       9.010,
