$Trinity Lake Br3 inflow year 2019 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
12.5,4.558969277
12.542,4.558969277
12.583,4.558969277
12.625,4.558969277
12.667,4.558969277
12.708,4.558969277
12.75,4.558969277
12.792,4.558969277
12.833,4.558969277
12.875,4.558969277
12.917,4.558969277
12.958,4.558969277
13,3.681155316
13.042,3.681155316
13.083,3.681155316
13.125,3.681155316
13.167,3.681155316
13.208,3.681155316
13.25,3.681155316
13.292,3.681155316
13.333,3.681155316
13.375,3.681155316
13.417,3.681155316
13.458,3.681155316
13.5,3.681155316
13.542,3.681155316
13.583,3.681155316
13.625,3.681155316
13.667,3.681155316
13.708,3.681155316
13.75,3.681155316
13.792,3.681155316
13.833,3.681155316
13.875,3.681155316
13.917,3.681155316
13.958,3.681155316
14,3.426306102
14.042,3.426306102
14.083,3.426306102
14.125,3.426306102
14.167,3.426306102
14.208,3.426306102
14.25,3.426306102
14.292,3.426306102
14.333,3.426306102
14.375,3.426306102
14.417,3.426306102
14.458,3.426306102
14.5,3.426306102
14.542,3.426306102
14.583,3.426306102
14.625,3.426306102
14.667,3.426306102
14.708,3.426306102
14.75,3.426306102
14.792,3.426306102
14.833,3.426306102
14.875,3.426306102
14.917,3.426306102
14.958,3.426306102
15,4.813818491
15.042,4.813818491
15.083,4.813818491
15.125,4.813818491
15.167,4.813818491
15.208,4.813818491
15.25,4.813818491
15.292,4.813818491
15.333,4.813818491
15.375,4.813818491
15.417,4.813818491
15.458,4.813818491
15.5,4.813818491
15.542,4.813818491
15.583,4.813818491
15.625,4.813818491
15.667,4.813818491
15.708,4.813818491
15.75,4.813818491
15.792,4.813818491
15.833,4.813818491
15.875,4.813818491
15.917,4.813818491
15.958,4.813818491
16,14.55472179
16.042,14.55472179
16.083,14.55472179
16.125,14.55472179
16.167,14.55472179
16.208,14.55472179
16.25,14.55472179
16.292,14.55472179
16.333,14.55472179
16.375,14.55472179
16.417,14.55472179
16.458,14.55472179
16.5,14.55472179
16.542,14.55472179
16.583,14.55472179
16.625,14.55472179
16.667,14.55472179
16.708,14.55472179
16.75,14.55472179
16.792,14.55472179
16.833,14.55472179
16.875,14.55472179
16.917,14.55472179
16.958,14.55472179
17,22.17188164
17.042,22.17188164
17.083,22.17188164
17.125,22.17188164
17.167,22.17188164
17.208,22.17188164
17.25,22.17188164
17.292,22.17188164
17.333,22.17188164
17.375,22.17188164
17.417,22.17188164
17.458,22.17188164
17.5,22.17188164
17.542,22.17188164
17.583,22.17188164
17.625,22.17188164
17.667,22.17188164
17.708,22.17188164
17.75,22.17188164
17.792,22.17188164
17.833,22.17188164
17.875,22.17188164
17.917,22.17188164
17.958,22.17188164
18,13.19552598
18.042,13.19552598
18.083,13.19552598
18.125,13.19552598
18.167,13.19552598
18.208,13.19552598
18.25,13.19552598
18.292,13.19552598
18.333,13.19552598
18.375,13.19552598
18.417,13.19552598
18.458,13.19552598
18.5,13.19552598
18.542,13.19552598
18.583,13.19552598
18.625,13.19552598
18.667,13.19552598
18.708,13.19552598
18.75,13.19552598
18.792,13.19552598
18.833,13.19552598
18.875,13.19552598
18.917,13.19552598
18.958,13.19552598
19,17.6978621
19.042,17.6978621
19.083,17.6978621
19.125,17.6978621
19.167,17.6978621
19.208,17.6978621
19.25,17.6978621
19.292,17.6978621
19.333,17.6978621
19.375,17.6978621
19.417,17.6978621
19.458,17.6978621
19.5,17.6978621
19.542,17.6978621
19.583,17.6978621
19.625,17.6978621
19.667,17.6978621
19.708,17.6978621
19.75,17.6978621
19.792,17.6978621
19.833,17.6978621
19.875,17.6978621
19.917,17.6978621
19.958,17.6978621
20,24.12572561
20.042,24.12572561
20.083,24.12572561
20.125,24.12572561
20.167,24.12572561
20.208,24.12572561
20.25,24.12572561
20.292,24.12572561
20.333,24.12572561
20.375,24.12572561
20.417,24.12572561
20.458,24.12572561
20.5,24.12572561
20.542,24.12572561
20.583,24.12572561
20.625,24.12572561
20.667,24.12572561
20.708,24.12572561
20.75,24.12572561
20.792,24.12572561
20.833,24.12572561
20.875,24.12572561
20.917,24.12572561
20.958,24.12572561
21,14.10165652
21.042,14.10165652
21.083,14.10165652
21.125,14.10165652
21.167,14.10165652
21.208,14.10165652
21.25,14.10165652
21.292,14.10165652
21.333,14.10165652
21.375,14.10165652
21.417,14.10165652
21.458,14.10165652
21.5,14.10165652
21.542,14.10165652
21.583,14.10165652
21.625,14.10165652
21.667,14.10165652
21.708,14.10165652
21.75,14.10165652
21.792,14.10165652
21.833,14.10165652
21.875,14.10165652
21.917,14.10165652
21.958,14.10165652
22,8.749823021
22.042,8.749823021
22.083,8.749823021
22.125,8.749823021
22.167,8.749823021
22.208,8.749823021
22.25,8.749823021
22.292,8.749823021
22.333,8.749823021
22.375,8.749823021
22.417,8.749823021
22.458,8.749823021
22.5,8.749823021
22.542,8.749823021
22.583,8.749823021
22.625,8.749823021
22.667,8.749823021
22.708,8.749823021
22.75,8.749823021
22.792,8.749823021
22.833,8.749823021
22.875,8.749823021
22.917,8.749823021
22.958,8.749823021
23,7.277360895
23.042,7.277360895
23.083,7.277360895
23.125,7.277360895
23.167,7.277360895
23.208,7.277360895
23.25,7.277360895
23.292,7.277360895
23.333,7.277360895
23.375,7.277360895
23.417,7.277360895
23.458,7.277360895
23.5,7.277360895
23.542,7.277360895
23.583,7.277360895
23.625,7.277360895
23.667,7.277360895
23.708,7.277360895
23.75,7.277360895
23.792,7.277360895
23.833,7.277360895
23.875,7.277360895
23.917,7.277360895
23.958,7.277360895
24,6.569446411
24.042,6.569446411
24.083,6.569446411
24.125,6.569446411
24.167,6.569446411
24.208,6.569446411
24.25,6.569446411
24.292,6.569446411
24.333,6.569446411
24.375,6.569446411
24.417,6.569446411
24.458,6.569446411
24.5,6.569446411
24.542,6.569446411
24.583,6.569446411
24.625,6.569446411
24.667,6.569446411
24.708,6.569446411
24.75,6.569446411
24.792,6.569446411
24.833,6.569446411
24.875,6.569446411
24.917,6.569446411
24.958,6.569446411
25,4.84213507
25.042,4.84213507
25.083,4.84213507
25.125,4.84213507
25.167,4.84213507
25.208,4.84213507
25.25,4.84213507
25.292,4.84213507
25.333,4.84213507
25.375,4.84213507
25.417,4.84213507
25.458,4.84213507
25.5,4.84213507
25.542,4.84213507
25.583,4.84213507
25.625,4.84213507
25.667,4.84213507
25.708,4.84213507
25.75,4.84213507
25.792,4.84213507
25.833,4.84213507
25.875,4.84213507
25.917,4.84213507
25.958,4.84213507
26,4.445702959
26.042,4.445702959
26.083,4.445702959
