 JDAY =    291.580844302622     
QIN:,13.071374,.000000,.000000,
QTR:,.000000,.000000,
QDT:,9.667285,.000000,.000000,
QWD:,2.688868,2.858696,16.371380,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
36,1,5,579.895326,-1.005357,-1.005326,13.985603,50458058073.809639,-360785728922.559937,1.505357,1.505326,176.814158,176.820765,8.335739,8.335739,-.205939,133640167.457714
37,1,5,579.859424,-.969498,-.969424,23.824153,50458058083.647697,-211793709588.917206,1.469498,1.469424,219.423633,219.453586,8.267762,8.267762,-.246355,119870356.513096
38,1,5,579.786528,-.896801,-.896528,9.466012,50458058069.290115,-533044498058.188416,1.396801,1.396528,249.717972,249.759769,8.163825,8.163825,-.227693,97260676.080146
39,1,5,579.775324,-.885507,-.885324,43.009447,50458058102.833565,-117318546081.013397,1.385507,1.385324,252.761562,252.797228,8.096253,8.096253,-.082872,84693028.824553
40,1,5,579.732462,-.842660,-.842462,80.934469,50458058140.758804,-62344337181.221939,1.342660,1.342462,228.901283,228.935616,8.077021,8.077021,.018096,90171620.570775
41,1,5,579.683493,-.793683,-.793493,111.804384,50458058171.628555,-45130661629.258087,1.293683,1.293493,197.826061,197.851991,8.085045,8.085045,.114334,103490374.894869
42,1,5,579.636383,-.746519,-.746383,132.909506,50458058192.732895,-37964220513.682373,1.246519,1.246383,190.775028,190.783029,8.132357,8.132357,.184030,96014247.562880
43,1,5,579.499665,-.609636,-.609665,-34.923606,50458058024.899780,144481237651.338196,1.109636,1.109665,217.658577,217.655474,8.155086,8.155086,-.292977,79953242.724788
44,1,5,579.588311,-.698305,-.698311,-36.009130,50458058023.814964,140125734137.855896,1.198305,1.198311,236.991103,236.992591,8.068336,8.068336,-.173057,66762723.129066
45,1,5,579.588325,-.698346,-.698325,-31.803063,50458058028.020988,158657857300.599854,1.198346,1.198325,221.698311,221.706070,7.983812,7.983812,-.178334,70214080.702248
46,1,5,579.598814,-.708878,-.708814,-20.355366,50458058039.468750,247885786294.736237,1.208878,1.208814,192.705921,192.719090,7.952142,7.952142,-.154808,79686328.049087
47,1,5,579.620993,-.731099,-.730993,-5.347570,50458058054.476463,943569878177.493896,1.231099,1.230993,189.928638,189.946544,7.935211,7.935211,-.155271,78838561.257720
48,1,5,579.642056,-.752169,-.752056,6.988388,50458058066.812363,-722027168792.575684,1.252169,1.252056,244.237708,244.263681,7.886884,7.886884,-.136031,71833630.217820
49,1,5,579.666715,-.776854,-.776715,38.159006,50458058097.983147,-132231060891.877441,1.276854,1.276715,214.752032,214.775133,7.791837,7.791837,-.003751,94402321.581140
50,1,5,579.682973,-.793099,-.792973,53.314918,50458058113.139038,-94641537113.919159,1.293099,1.292973,107.334716,107.344607,7.754374,7.754374,.139158,187135739.362232
51,1,5,579.698323,-.808410,-.808323,58.003130,50458058117.827209,-86991957980.028656,1.308410,1.308323,108.731718,108.737498,7.816181,7.816181,.144593,175906426.743142
52,1,5,579.704732,-.814784,-.814732,64.943518,50458058124.767609,-77695294761.531418,1.314784,1.314732,94.967796,94.971814,7.841589,7.841589,.166436,201366214.023431
53,1,5,579.706401,-.816440,-.816401,66.098324,50458058125.922409,-76337878393.522278,1.316440,1.316401,42.261921,42.262813,7.797871,7.797871,.452960,377294603.961175
