$Lewiston Spillway release year 2017 YC 06/22/22,
279.5,8.452361
279.542,8.4054962
279.583,8.4289003
279.625,8.4289286
279.667,8.4289003
279.708,8.4732747
279.75,8.5395533
279.792,8.6043603
279.833,8.6043603
279.875,8.6043603
279.917,8.6043603
279.958,8.5609764
280,8.5609764
280.042,8.6043603
280.083,8.5605236
280.125,8.5376289
280.167,8.473303
280.208,8.4289286
280.25,8.4289003
280.292,8.4952072
280.333,8.4722842
280.375,8.4727653
280.417,8.4927451
280.458,8.4289286
280.5,8.4289286
280.542,8.4289003
280.583,8.4289003
280.625,8.4289286
280.667,8.4289003
280.708,8.4742369
280.75,8.4727653
280.792,8.4956883
280.833,8.5610047
280.875,8.4498989
280.917,8.4289569
280.958,8.4289286
281,8.4289003
281.042,8.4054962
281.083,8.4513422
281.125,8.4498989
281.167,8.452361
281.208,8.4289569
281.25,8.4289286
281.292,8.4289003
281.333,8.4289003
281.375,8.4054962
281.417,8.4289286
281.458,8.4289003
281.5,8.4289003
281.542,8.4289003
281.583,8.4289003
281.625,8.4952072
281.667,8.4946978
281.708,8.5395533
281.75,8.544902
281.792,8.6043603
281.833,8.6043603
281.875,8.5380534
281.917,8.4727936
281.958,8.4289003
282,8.4289003
282.042,8.4289003
282.083,8.4289003
282.125,8.3840731
282.167,8.3187567
282.208,8.3421608
282.25,8.3636122
282.292,8.3845542
282.333,8.4289003
282.375,8.4289003
282.417,8.4732464
282.458,8.4289003
282.5,8.4289003
282.542,8.4289003
282.583,8.4289003
282.625,8.4513422
282.667,8.5161492
282.708,8.5375723
282.75,8.5595048
282.792,8.6043603
282.833,8.6282738
282.875,8.5604953
282.917,8.465945
282.958,8.4956883
283,8.4932545
283.042,8.4289003
283.083,8.4054962
283.125,8.4289003
283.167,8.4289003
283.208,8.4289003
283.25,8.4289003
283.292,8.4289003
283.333,8.4289003
283.375,8.4289003
283.417,8.4523327
283.458,8.4727653
283.5,8.4493612
283.542,8.5161492
283.583,8.4722842
283.625,8.5156681
283.667,8.5614575
283.708,8.5390722
283.75,8.6043603
283.792,8.6043603
283.833,8.6043603
283.875,8.5380817
283.917,8.539525
283.958,8.5619669
284,8.5814656
284.042,8.4883869
284.083,8.4289003
284.125,8.4444936
284.167,8.4722842
284.208,8.4732464
284.25,8.4289003
284.292,8.4289003
284.333,8.4289003
284.375,8.4289003
284.417,8.3411703
284.458,8.3621406
284.5,8.2968242
284.542,8.2977864
284.583,8.276335
284.625,8.2973053
284.667,8.3187567
284.708,8.253412
284.75,8.4074489
284.792,8.4289003
284.833,8.58339
284.875,8.6043603
284.917,8.6478291
284.958,8.6935336
285,8.7598971
285.042,8.7163434
285.083,8.715834
285.125,8.6674127
285.167,8.6930525
285.208,8.7132304
285.25,8.6261513
285.292,8.6282738
285.333,8.6245665
285.375,8.6043886
285.417,8.5595331
285.458,8.4937356
285.5,8.428872
285.542,8.4289003
285.583,8.3128703
285.625,8.274354
285.667,8.2685242
285.708,8.3406609
285.75,8.4074489
285.792,8.4289003
285.833,8.5985588
285.875,8.6043603
285.917,8.6266607
285.958,8.7376533
286,8.6697899
286.042,8.7168528
286.083,8.6702993
286.125,8.6043886
286.167,8.6484517
286.208,8.6043886
286.25,8.6043886
286.292,8.6043886
286.333,8.6043886
286.375,8.6043886
286.417,8.6043886
286.458,8.4932262
286.5,8.4289003
286.542,8.4289003
286.583,8.3855447
286.625,8.4060056
286.667,8.2968242
286.708,8.3211622
286.75,8.3616312
286.792,8.4947261
286.833,8.6283021
286.875,8.672252
286.917,8.7827069
286.958,8.7827352
287,8.7827069
287.042,8.7132587
287.083,8.7827069
287.125,8.759416
287.167,8.737625
287.208,8.694043
287.25,8.6717709
287.292,8.6261796
287.333,7.4181092
287.375,6.9542722
287.417,6.9542722
287.458,6.871806
287.5,6.8182624
287.542,6.7745389
287.583,6.7419656
287.625,6.6938556
287.667,6.7267968
287.708,6.7267968
287.75,6.8085272
287.792,6.8736738
287.833,6.9542722
287.875,6.9543005
287.917,6.987553
287.958,6.9542722
288,6.9542722
288.042,6.9871568
288.083,6.9542722
288.125,6.9543005
288.167,6.9542722
288.208,6.9543005
288.25,6.9542722
288.292,6.9543005
288.333,6.9543005
288.375,6.4121574
288.417,5.5192641
288.458,5.5192641
288.5,5.502652
288.542,5.3918858
288.583,5.3918858
288.625,5.3752454
288.667,5.3763208
288.708,5.3918858
288.75,5.3918858
288.792,5.4725408
288.833,5.5192924
288.875,5.5039538
288.917,5.5684495
288.958,5.6148615
289,5.5514695
289.042,5.5630442
289.083,5.6168991
289.125,5.5205659
289.167,5.6168991
289.208,5.5236223
289.25,5.5192641
289.292,5.5192641
289.333,4.6449922
289.375,4.2286143
289.417,4.225756
289.458,4.2119739
289.5,4.1012643
289.542,4.101236
289.583,4.101236
289.625,4.003601
289.667,4.101236
289.708,4.101236
289.75,4.101236
289.792,4.2133606
289.833,4.228586
289.875,4.2452547
289.917,4.3258814
289.958,4.2759602
290,4.2781393
290.042,4.2763564
290.083,4.2615272
290.125,4.2286143
290.167,4.3106843
290.208,4.3309471
290.25,4.3103447
290.292,4.244151
290.333,4.3432293
290.375,4.244151
290.417,4.2286143
290.458,4.2286143
290.5,4.1797685
290.542,4.101236
290.583,4.0842277
290.625,4.0251373
290.667,4.0632574
290.708,4.101236
290.75,4.1126409
290.792,4.1012643
290.833,4.1489781
290.875,4.2286143
290.917,4.2168698
290.958,4.228586
291,4.2286143
291.042,4.2286143
291.083,4.2777997
291.125,4.2329442
291.167,4.2403305
291.208,4.2615272
291.25,4.2286143
291.292,4.2168698
291.333,4.2286143
291.375,4.2286143
291.417,4.1960693
291.458,4.1486385
291.5,4.101236
291.542,4.101236
291.583,4.0198735
291.625,4.0039689
291.667,3.9710277
291.708,3.9710277
291.75,4.0032331
291.792,4.0524185
291.833,4.101236
291.875,4.101236
291.917,4.101236
291.958,4.101236
292,4.1327339
292.042,4.1808156
292.083,4.1369789
292.125,4.1649393
292.167,4.1334414
292.208,4.1334414
292.25,4.1012643
292.292,4.1012643
292.333,3.8325841
292.375,3.0794645
292.417,3.0794645
292.458,3.1116416
292.5,3.0309866
292.542,3.032062
292.583,2.966972
292.625,2.9520862
292.667,2.9521145
292.708,3.0075825
292.75,3.0115445
292.792,3.0794645
292.833,3.0880394
292.875,3.174977
292.917,3.1912778
292.958,3.0946616
293,3.1279424
293.042,3.1498183
293.083,3.122622
293.125,3.1594403
293.167,3.1265274
