$Trinity Lake Br1 inflow year 2018 updated YC 06/1/23,
",,,",
Jday,USBR TL Inflow (QI)
1,2.718391618
1.042,2.718391618
1.083,2.718391618
1.125,2.718391618
1.167,2.718391618
1.208,2.718391618
1.25,2.718391618
1.292,2.718391618
1.333,2.718391618
1.375,2.718391618
1.417,2.718391618
1.458,2.718391618
1.5,2.718391618
1.542,2.718391618
1.583,2.718391618
1.625,2.718391618
1.667,2.718391618
1.708,2.718391618
1.75,2.718391618
1.792,2.718391618
1.833,2.718391618
1.875,2.718391618
1.917,2.718391618
1.958,2.718391618
2,3.53957242
2.042,3.53957242
2.083,3.53957242
2.125,3.53957242
2.167,3.53957242
2.208,3.53957242
2.25,3.53957242
2.292,3.53957242
2.333,3.53957242
2.375,3.53957242
2.417,3.53957242
2.458,3.53957242
2.5,3.53957242
2.542,3.53957242
2.583,3.53957242
2.625,3.53957242
2.667,3.53957242
2.708,3.53957242
2.75,3.53957242
2.792,3.53957242
2.833,3.53957242
2.875,3.53957242
2.917,3.53957242
2.958,3.53957242
3,3.737788475
3.042,3.737788475
3.083,3.737788475
3.125,3.737788475
3.167,3.737788475
3.208,3.737788475
3.25,3.737788475
3.292,3.737788475
3.333,3.737788475
3.375,3.737788475
3.417,3.737788475
3.458,3.737788475
3.5,3.737788475
3.542,3.737788475
3.583,3.737788475
3.625,3.737788475
3.667,3.737788475
3.708,3.737788475
3.75,3.737788475
3.792,3.737788475
3.833,3.737788475
3.875,3.737788475
3.917,3.737788475
3.958,3.737788475
4,5.606682713
4.042,5.606682713
4.083,5.606682713
4.125,5.606682713
4.167,5.606682713
4.208,5.606682713
4.25,5.606682713
4.292,5.606682713
4.333,5.606682713
4.375,5.606682713
4.417,5.606682713
4.458,5.606682713
4.5,5.606682713
4.542,5.606682713
4.583,5.606682713
4.625,5.606682713
4.667,5.606682713
4.708,5.606682713
4.75,5.606682713
4.792,5.606682713
4.833,5.606682713
4.875,5.606682713
4.917,5.606682713
4.958,5.606682713
5,26.98570013
5.042,26.98570013
5.083,26.98570013
5.125,26.98570013
5.167,26.98570013
5.208,26.98570013
5.25,26.98570013
5.292,26.98570013
5.333,26.98570013
5.375,26.98570013
5.417,26.98570013
5.458,26.98570013
5.5,26.98570013
5.542,26.98570013
5.583,26.98570013
5.625,26.98570013
5.667,26.98570013
5.708,26.98570013
5.75,26.98570013
5.792,26.98570013
5.833,26.98570013
5.875,26.98570013
5.917,26.98570013
5.958,26.98570013
6,15.03610364
6.042,15.03610364
6.083,15.03610364
6.125,15.03610364
6.167,15.03610364
6.208,15.03610364
6.25,15.03610364
6.292,15.03610364
6.333,15.03610364
6.375,15.03610364
