$Trinity Lake updated withdrawals year 2018 YC 08/31/22,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
10.042,0.0283,0.0283
10.083,0.0283,0.0283
10.125,0.0283,0.0283
10.167,0.0283,0.0283
10.208,0.0283,0.0283
10.25,0.0283,0.0283
10.292,0.0283,0.0283
10.333,0.0283,0.0283
10.375,0.0283,0.0283
10.417,3.1351023,0.0283
10.458,51.7477386,0.0283
10.5,54.0082577,0.0283
10.542,54.328925,0.0283
10.583,52.9292353,0.0283
10.625,54.311379,0.0283
10.667,53.5274124,0.0283
10.708,54.2883994,0.0283
10.75,54.0002205,0.0283
10.792,54.1347304,0.0283
10.833,52.5580525,0.0283
10.875,21.0740195,0.0283
10.917,20.0232122,0.0283
10.958,19.9674046,0.0283
11,19.6911117,0.0283
11.042,2.4412429,0.0283
11.083,0.0283,0.0283
11.125,0.0283,0.0283
11.167,0.0283,0.0283
11.208,0.0283,0.0283
11.25,0.0283,0.0283
11.292,0.0283,0.0283
11.333,0.0283,0.0283
11.375,0.0283,0.0283
11.417,0.0283,0.0283
11.458,0.0283,0.0283
11.5,0.0283,0.0283
11.542,0.0283,0.0283
11.583,4.4727018,0.0283
11.625,51.758719,0.0283
11.667,54.0910352,0.0283
11.708,54.0565092,0.0283
11.75,53.9637418,0.0283
11.792,54.3619511,0.0283
11.833,54.5185067,0.0283
11.875,51.7001946,0.0283
11.917,3.0157046,0.0283
11.958,0.0283,0.0283
12,0.0283,0.0283
12.042,0.0283,0.0283
12.083,0.0283,0.0283
12.125,0.0283,0.0283
12.167,0.0283,0.0283
12.208,0.0283,0.0283
12.25,0.0283,0.0283
12.292,0.0283,0.0283
12.333,0.0283,0.0283
12.375,0.0283,0.0283
12.417,0.0283,0.0283
12.458,0.0283,0.0283
12.5,0.0283,0.0283
12.542,0.0283,0.0283
12.583,3.043382,0.0283
12.625,51.715986,0.0283
12.667,54.0154176,0.0283
12.708,54.0474249,0.0283
12.75,54.2996628,0.0283
12.792,54.0859695,0.0283
12.833,54.1363152,0.0283
12.875,53.7095229,0.0283
12.917,44.0298475,0.0283
12.958,43.685012,0.0283
13,41.7165206,0.0283
13.042,3.1889289,0.0283
13.083,0.0283,0.0283
13.125,0.0283,0.0283
13.167,0.0283,0.0283
13.208,0.0283,0.0283
13.25,0.0283,0.0283
13.292,0.0283,0.0283
13.333,0.0283,0.0283
13.375,0.0283,0.0283
13.417,0.0283,0.0283
13.458,0.0283,0.0283
13.5,0.0283,0.0283
13.542,5.2675639,0.0283
13.583,51.8341102,0.0283
13.625,54.1764729,0.0283
13.667,54.0742533,0.0283
13.708,54.3367924,0.0283
13.75,54.0824886,0.0283
13.792,54.380714,0.0283
13.833,54.0713384,0.0283
13.875,54.0361049,0.0283
13.917,51.7707748,0.0283
13.958,3.4464306,0.0283
14,7.0065706,0.0283
14.042,1.1934393,0.0283
14.083,0.0283,0.0283
14.125,0.0283,0.0283
14.167,0.0283,0.0283
14.208,0.0283,0.0283
14.25,0.0283,0.0283
14.292,0.0283,0.0283
14.333,0.0283,0.0283
14.375,0.0283,0.0283
14.417,0.0283,0.0283
14.458,0.0283,0.0283
14.5,0.0283,0.0283
14.542,0.0283,0.0283
14.583,3.0607582,0.0283
14.625,51.6559334,0.0283
14.667,54.1482861,0.0283
14.708,54.0091633,0.0283
14.75,54.0698102,0.0283
14.792,54.1900852,0.0283
14.833,54.2251489,0.0283
14.875,54.1845384,0.0283
14.917,51.7957071,0.0283
14.958,2.9884517,0.0283
15,0.0283,0.0283
15.042,0.0283,0.0283
15.083,0.0283,0.0283
15.125,0.0283,0.0283
15.167,0.0283,0.0283
15.208,0.0283,0.0283
15.25,0.0283,0.0283
15.292,0.0283,0.0283
15.333,0.0283,0.0283
15.375,0.0283,0.0283
15.417,0.0283,0.0283
15.458,0.0283,0.0283
15.5,0.0283,0.0283
15.542,0.0283,0.0283
15.583,0.0283,0.0283
15.625,0.0283,0.0283
15.667,4.1059904,0.0283
15.708,51.6302653,0.0283
15.75,54.0953368,0.0283
15.792,54.2294222,0.0283
15.833,54.3583004,0.0283
15.875,51.6476132,0.0283
15.917,2.9956399,0.0283
15.958,0.0283,0.0283
16,0.0283,0.0283
16.042,0.0283,0.0283
16.083,0.0283,0.0283
16.125,0.0283,0.0283
16.167,0.0283,0.0283
16.208,0.0283,0.0283
16.25,0.0283,0.0283
16.292,0.0283,0.0283
16.333,0.0283,0.0283
16.375,0.0283,0.0283
16.417,0.0283,0.0283
16.458,0.0283,0.0283
16.5,0.0283,0.0283
16.542,0.0283,0.0283
16.583,0.0283,0.0283
16.625,0.0283,0.0283
16.667,0.0392521,0.0283
16.708,2.9998283,0.0283
16.75,51.8320443,0.0283
16.792,54.049038,0.0283
16.833,54.0309826,0.0283
16.875,54.1063738,0.0283
16.917,54.0049749,0.0283
16.958,54.2287996,0.0283
17,51.4551732,0.0283
17.042,3.2458968,0.0283
17.083,0.0283,0.0283
17.125,0.0283,0.0283
17.167,0.0283,0.0283
17.208,0.0283,0.0283
17.25,0.0283,0.0283
17.292,0.0283,0.0283
17.333,0.0283,0.0283
17.375,0.0283,0.0283
17.417,0.0283,0.0283
17.458,0.0283,0.0283
17.5,0.0283,0.0283
17.542,0.0283,0.0283
17.583,3.107906,0.0283
17.625,51.8914177,0.0283
17.667,54.058094,0.0283
17.708,54.2199983,0.0283
17.75,54.054132,0.0283
17.792,54.1490502,0.0283
17.833,53.6247361,0.0283
17.875,44.0644018,0.0283
17.917,41.8569735,0.0283
17.958,2.7156114,0.0283
18,0.0283,0.0283
18.042,0.0283,0.0283
18.083,0.0283,0.0283
18.125,0.0283,0.0283
18.167,0.0283,0.0283
18.208,0.0283,0.0283
18.25,0.0283,0.0283
18.292,0.0283,0.0283
18.333,0.0283,0.0283
