$Trinity Lake Br3 inflow updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
18,5.521732975
18.042,5.521732975
18.083,5.521732975
18.125,5.521732975
18.167,5.521732975
18.208,5.521732975
18.25,5.521732975
18.292,5.521732975
18.333,5.521732975
18.375,5.521732975
18.417,5.521732975
18.458,5.521732975
18.5,5.521732975
18.542,5.521732975
18.583,5.521732975
18.625,5.521732975
18.667,5.521732975
18.708,5.521732975
18.75,5.521732975
18.792,5.521732975
18.833,5.521732975
18.875,5.521732975
18.917,5.521732975
18.958,5.521732975
19,3.794421634
19.042,3.794421634
19.083,3.794421634
19.125,3.794421634
19.167,3.794421634
19.208,3.794421634
19.25,3.794421634
19.292,3.794421634
19.333,3.794421634
19.375,3.794421634
19.417,3.794421634
19.458,3.794421634
19.5,3.794421634
19.542,3.794421634
19.583,3.794421634
19.625,3.794421634
19.667,3.794421634
19.708,3.794421634
19.75,3.794421634
19.792,3.794421634
19.833,3.794421634
19.875,3.794421634
19.917,3.794421634
19.958,3.794421634
20,2.916607674
20.042,2.916607674
20.083,2.916607674
20.125,2.916607674
20.167,2.916607674
20.208,2.916607674
20.25,2.916607674
20.292,2.916607674
20.333,2.916607674
20.375,2.916607674
20.417,2.916607674
20.458,2.916607674
20.5,2.916607674
20.542,2.916607674
20.583,2.916607674
20.625,2.916607674
20.667,2.916607674
20.708,2.916607674
20.75,2.916607674
20.792,2.916607674
20.833,2.916607674
20.875,2.916607674
20.917,2.916607674
20.958,2.916607674
21,2.605125301
21.042,2.605125301
21.083,2.605125301
21.125,2.605125301
21.167,2.605125301
21.208,2.605125301
21.25,2.605125301
21.292,2.605125301
21.333,2.605125301
21.375,2.605125301
21.417,2.605125301
21.458,2.605125301
21.5,2.605125301
21.542,2.605125301
21.583,2.605125301
21.625,2.605125301
21.667,2.605125301
21.708,2.605125301
21.75,2.605125301
21.792,2.605125301
21.833,2.605125301
21.875,2.605125301
21.917,2.605125301
21.958,2.605125301
22,4.898768229
22.042,4.898768229
22.083,4.898768229
22.125,4.898768229
22.167,4.898768229
22.208,4.898768229
22.25,4.898768229
22.292,4.898768229
22.333,4.898768229
22.375,4.898768229
22.417,4.898768229
22.458,4.898768229
22.5,4.898768229
22.542,4.898768229
22.583,4.898768229
22.625,4.898768229
22.667,4.898768229
22.708,4.898768229
22.75,4.898768229
22.792,4.898768229
22.833,4.898768229
22.875,4.898768229
22.917,4.898768229
22.958,4.898768229
23,2.746708198
23.042,2.746708198
23.083,2.746708198
23.125,2.746708198
23.167,2.746708198
23.208,2.746708198
23.25,2.746708198
23.292,2.746708198
23.333,2.746708198
23.375,2.746708198
23.417,2.746708198
23.458,2.746708198
23.5,2.746708198
23.542,2.746708198
23.583,2.746708198
23.625,2.746708198
23.667,2.746708198
23.708,2.746708198
23.75,2.746708198
23.792,2.746708198
23.833,2.746708198
23.875,2.746708198
23.917,2.746708198
23.958,2.746708198
24,5.125300864
24.042,5.125300864
24.083,5.125300864
24.125,5.125300864
24.167,5.125300864
24.208,5.125300864
24.25,5.125300864
24.292,5.125300864
24.333,5.125300864
24.375,5.125300864
24.417,5.125300864
24.458,5.125300864
24.5,5.125300864
24.542,5.125300864
24.583,5.125300864
24.625,5.125300864
24.667,5.125300864
24.708,5.125300864
24.75,5.125300864
24.792,5.125300864
24.833,5.125300864
24.875,5.125300864
24.917,5.125300864
24.958,5.125300864
25,4.643919015
25.042,4.643919015
25.083,4.643919015
25.125,4.643919015
25.167,4.643919015
25.208,4.643919015
25.25,4.643919015
25.292,4.643919015
25.333,4.643919015
25.375,4.643919015
25.417,4.643919015
25.458,4.643919015
25.5,4.643919015
25.542,4.643919015
25.583,4.643919015
25.625,4.643919015
25.667,4.643919015
25.708,4.643919015
25.75,4.643919015
25.792,4.643919015
25.833,4.643919015
25.875,4.643919015
25.917,4.643919015
25.958,4.643919015
26,3.199773467
26.042,3.199773467
26.083,3.199773467
26.125,3.199773467
26.167,3.199773467
26.208,3.199773467
26.25,3.199773467
26.292,3.199773467
26.333,3.199773467
26.375,3.199773467
26.417,3.199773467
26.458,3.199773467
26.5,3.199773467
26.542,3.199773467
26.583,3.199773467
26.625,3.199773467
26.667,3.199773467
26.708,3.199773467
26.75,3.199773467
26.792,3.199773467
26.833,3.199773467
26.875,3.199773467
26.917,3.199773467
26.958,3.199773467
27,3.652838737
27.042,3.652838737
27.083,3.652838737
27.125,3.652838737
27.167,3.652838737
27.208,3.652838737
27.25,3.652838737
27.292,3.652838737
27.333,3.652838737
27.375,3.652838737
27.417,3.652838737
27.458,3.652838737
27.5,3.652838737
27.542,3.652838737
27.583,3.652838737
27.625,3.652838737
27.667,3.652838737
27.708,3.652838737
27.75,3.652838737
27.792,3.652838737
27.833,3.652838737
27.875,3.652838737
27.917,3.652838737
27.958,3.652838737
28,2.690075039
28.042,2.690075039
28.083,2.690075039
28.125,2.690075039
28.167,2.690075039
28.208,2.690075039
28.25,2.690075039
28.292,2.690075039
28.333,2.690075039
28.375,2.690075039
28.417,2.690075039
28.458,2.690075039
28.5,2.690075039
28.542,2.690075039
28.583,2.690075039
28.625,2.690075039
28.667,2.690075039
28.708,2.690075039
28.75,2.690075039
28.792,2.690075039
28.833,2.690075039
28.875,2.690075039
28.917,2.690075039
28.958,2.690075039
29,2.435225825
29.042,2.435225825
29.083,2.435225825
29.125,2.435225825
29.167,2.435225825
29.208,2.435225825
29.25,2.435225825
29.292,2.435225825
29.333,2.435225825
29.375,2.435225825
29.417,2.435225825
29.458,2.435225825
29.5,2.435225825
29.542,2.435225825
29.583,2.435225825
29.625,2.435225825
29.667,2.435225825
29.708,2.435225825
29.75,2.435225825
29.792,2.435225825
29.833,2.435225825
29.875,2.435225825
29.917,2.435225825
29.958,2.435225825
30,2.859974515
30.042,2.859974515
30.083,2.859974515
30.125,2.859974515
30.167,2.859974515
30.208,2.859974515
30.25,2.859974515
30.292,2.859974515
30.333,2.859974515
30.375,2.859974515
30.417,2.859974515
30.458,2.859974515
30.5,2.859974515
30.542,2.859974515
30.583,2.859974515
30.625,2.859974515
30.667,2.859974515
30.708,2.859974515
30.75,2.859974515
30.792,2.859974515
30.833,2.859974515
30.875,2.859974515
30.917,2.859974515
30.958,2.859974515
31,2.265326349
31.042,2.265326349
31.083,2.265326349
31.125,2.265326349
31.167,2.265326349
31.208,2.265326349
31.25,2.265326349
31.292,2.265326349
31.333,2.265326349
31.375,2.265326349
31.417,2.265326349
31.458,2.265326349
31.5,2.265326349
31.542,2.265326349
31.583,2.265326349
31.625,2.265326349
31.667,2.265326349
31.708,2.265326349
31.75,2.265326349
31.792,2.265326349
31.833,2.265326349
31.875,2.265326349
31.917,2.265326349
31.958,2.265326349
32,2.690075039
32.042,2.690075039
32.083,2.690075039
32.125,2.690075039
32.167,2.690075039
32.208,2.690075039
32.25,2.690075039
32.292,2.690075039
32.333,2.690075039
32.375,2.690075039
32.417,2.690075039
32.458,2.690075039
32.5,2.690075039
32.542,2.690075039
32.583,2.690075039
32.625,2.690075039
32.667,2.690075039
32.708,2.690075039
32.75,2.690075039
32.792,2.690075039
32.833,2.690075039
32.875,2.690075039
32.917,2.690075039
32.958,2.690075039
33,2.605125301
33.042,2.605125301
33.083,2.605125301
33.125,2.605125301
33.167,2.605125301
33.208,2.605125301
33.25,2.605125301
33.292,2.605125301
33.333,2.605125301
33.375,2.605125301
33.417,2.605125301
33.458,2.605125301
33.5,2.605125301
33.542,2.605125301
33.583,2.605125301
33.625,2.605125301
33.667,2.605125301
33.708,2.605125301
33.75,2.605125301
33.792,2.605125301
33.833,2.605125301
33.875,2.605125301
33.917,2.605125301
33.958,2.605125301
34,3.737788475
34.042,3.737788475
34.083,3.737788475
34.125,3.737788475
34.167,3.737788475
34.208,3.737788475
34.25,3.737788475
34.292,3.737788475
34.333,3.737788475
34.375,3.737788475
34.417,3.737788475
34.458,3.737788475
34.5,3.737788475
34.542,3.737788475
34.583,3.737788475
34.625,3.737788475
34.667,3.737788475
34.708,3.737788475
34.75,3.737788475
34.792,3.737788475
34.833,3.737788475
34.875,3.737788475
34.917,3.737788475
34.958,3.737788475
35,3.652838737
35.042,3.652838737
35.083,3.652838737
35.125,3.652838737
35.167,3.652838737
35.208,3.652838737
35.25,3.652838737
35.292,3.652838737
35.333,3.652838737
35.375,3.652838737
35.417,3.652838737
35.458,3.652838737
35.5,3.652838737
35.542,3.652838737
35.583,3.652838737
35.625,3.652838737
35.667,3.652838737
35.708,3.652838737
35.75,3.652838737
35.792,3.652838737
35.833,3.652838737
35.875,3.652838737
35.917,3.652838737
35.958,3.652838737
36,3.936004531
36.042,3.936004531
36.083,3.936004531
36.125,3.936004531
36.167,3.936004531
36.208,3.936004531
36.25,3.936004531
36.292,3.936004531
36.333,3.936004531
36.375,3.936004531
36.417,3.936004531
36.458,3.936004531
36.5,3.936004531
36.542,3.936004531
36.583,3.936004531
36.625,3.936004531
36.667,3.936004531
36.708,3.936004531
36.75,3.936004531
36.792,3.936004531
36.833,3.936004531
36.875,3.936004531
36.917,3.936004531
36.958,3.936004531
37,3.51125584
37.042,3.51125584
37.083,3.51125584
37.125,3.51125584
37.167,3.51125584
37.208,3.51125584
37.25,3.51125584
37.292,3.51125584
37.333,3.51125584
37.375,3.51125584
37.417,3.51125584
37.458,3.51125584
37.5,3.51125584
37.542,3.51125584
37.583,3.51125584
37.625,3.51125584
37.667,3.51125584
37.708,3.51125584
37.75,3.51125584
37.792,3.51125584
37.833,3.51125584
37.875,3.51125584
37.917,3.51125584
37.958,3.51125584
38,3.001557412
38.042,3.001557412
38.083,3.001557412
38.125,3.001557412
38.167,3.001557412
38.208,3.001557412
38.25,3.001557412
38.292,3.001557412
38.333,3.001557412
38.375,3.001557412
38.417,3.001557412
38.458,3.001557412
38.5,3.001557412
38.542,3.001557412
38.583,3.001557412
38.625,3.001557412
38.667,3.001557412
38.708,3.001557412
38.75,3.001557412
38.792,3.001557412
38.833,3.001557412
38.875,3.001557412
38.917,3.001557412
38.958,3.001557412
39,2.406909245
39.042,2.406909245
39.083,2.406909245
39.125,2.406909245
39.167,2.406909245
39.208,2.406909245
39.25,2.406909245
39.292,2.406909245
39.333,2.406909245
39.375,2.406909245
39.417,2.406909245
39.458,2.406909245
39.5,2.406909245
39.542,2.406909245
39.583,2.406909245
39.625,2.406909245
39.667,2.406909245
39.708,2.406909245
39.75,2.406909245
39.792,2.406909245
39.833,2.406909245
39.875,2.406909245
39.917,2.406909245
39.958,2.406909245
40,3.029873991
40.042,3.029873991
40.083,3.029873991
40.125,3.029873991
40.167,3.029873991
40.208,3.029873991
40.25,3.029873991
40.292,3.029873991
40.333,3.029873991
40.375,3.029873991
40.417,3.029873991
40.458,3.029873991
40.5,3.029873991
40.542,3.029873991
40.583,3.029873991
40.625,3.029873991
40.667,3.029873991
40.708,3.029873991
40.75,3.029873991
40.792,3.029873991
40.833,3.029873991
40.875,3.029873991
40.917,3.029873991
40.958,3.029873991
41,2.095426872
41.042,2.095426872
41.083,2.095426872
41.125,2.095426872
41.167,2.095426872
41.208,2.095426872
41.25,2.095426872
41.292,2.095426872
41.333,2.095426872
41.375,2.095426872
41.417,2.095426872
41.458,2.095426872
41.5,2.095426872
41.542,2.095426872
41.583,2.095426872
41.625,2.095426872
41.667,2.095426872
41.708,2.095426872
41.75,2.095426872
41.792,2.095426872
41.833,2.095426872
41.875,2.095426872
41.917,2.095426872
41.958,2.095426872
42,1.868894238
42.042,1.868894238
42.083,1.868894238
42.125,1.868894238
42.167,1.868894238
42.208,1.868894238
42.25,1.868894238
42.292,1.868894238
42.333,1.868894238
42.375,1.868894238
42.417,1.868894238
42.458,1.868894238
42.5,1.868894238
42.542,1.868894238
42.583,1.868894238
42.625,1.868894238
42.667,1.868894238
42.708,1.868894238
42.75,1.868894238
42.792,1.868894238
42.833,1.868894238
42.875,1.868894238
42.917,1.868894238
42.958,1.868894238
43,2.576808722
43.042,2.576808722
43.083,2.576808722
43.125,2.576808722
43.167,2.576808722
43.208,2.576808722
43.25,2.576808722
43.292,2.576808722
43.333,2.576808722
43.375,2.576808722
43.417,2.576808722
43.458,2.576808722
43.5,2.576808722
43.542,2.576808722
43.583,2.576808722
43.625,2.576808722
43.667,2.576808722
43.708,2.576808722
43.75,2.576808722
43.792,2.576808722
43.833,2.576808722
43.875,2.576808722
43.917,2.576808722
43.958,2.576808722
44,1.500778706
44.042,1.500778706
44.083,1.500778706
44.125,1.500778706
44.167,1.500778706
44.208,1.500778706
44.25,1.500778706
44.292,1.500778706
44.333,1.500778706
44.375,1.500778706
44.417,1.500778706
44.458,1.500778706
44.5,1.500778706
44.542,1.500778706
44.583,1.500778706
44.625,1.500778706
44.667,1.500778706
44.708,1.500778706
44.75,1.500778706
44.792,1.500778706
44.833,1.500778706
44.875,1.500778706
44.917,1.500778706
44.958,1.500778706
45,1.868894238
45.042,1.868894238
45.083,1.868894238
45.125,1.868894238
45.167,1.868894238
45.208,1.868894238
45.25,1.868894238
45.292,1.868894238
45.333,1.868894238
45.375,1.868894238
45.417,1.868894238
45.458,1.868894238
45.5,1.868894238
45.542,1.868894238
45.583,1.868894238
45.625,1.868894238
45.667,1.868894238
45.708,1.868894238
45.75,1.868894238
45.792,1.868894238
45.833,1.868894238
45.875,1.868894238
45.917,1.868894238
45.958,1.868894238
46,1.982160555
46.042,1.982160555
46.083,1.982160555
46.125,1.982160555
46.167,1.982160555
46.208,1.982160555
46.25,1.982160555
46.292,1.982160555
46.333,1.982160555
46.375,1.982160555
46.417,1.982160555
46.458,1.982160555
46.5,1.982160555
46.542,1.982160555
46.583,1.982160555
46.625,1.982160555
46.667,1.982160555
46.708,1.982160555
46.75,1.982160555
46.792,1.982160555
46.833,1.982160555
46.875,1.982160555
46.917,1.982160555
46.958,1.982160555
47,1.75562792
47.042,1.75562792
47.083,1.75562792
47.125,1.75562792
47.167,1.75562792
47.208,1.75562792
47.25,1.75562792
47.292,1.75562792
47.333,1.75562792
47.375,1.75562792
47.417,1.75562792
47.458,1.75562792
47.5,1.75562792
47.542,1.75562792
47.583,1.75562792
47.625,1.75562792
47.667,1.75562792
47.708,1.75562792
47.75,1.75562792
47.792,1.75562792
47.833,1.75562792
47.875,1.75562792
47.917,1.75562792
47.958,1.75562792
48,0.962763698
48.042,0.962763698
48.083,0.962763698
48.125,0.962763698
48.167,0.962763698
48.208,0.962763698
48.25,0.962763698
48.292,0.962763698
48.333,0.962763698
48.375,0.962763698
48.417,0.962763698
48.458,0.962763698
48.5,0.962763698
48.542,0.962763698
48.583,0.962763698
48.625,0.962763698
48.667,0.962763698
48.708,0.962763698
48.75,0.962763698
48.792,0.962763698
48.833,0.962763698
48.875,0.962763698
48.917,0.962763698
48.958,0.962763698
49,1.897210817
49.042,1.897210817
49.083,1.897210817
49.125,1.897210817
49.167,1.897210817
49.208,1.897210817
49.25,1.897210817
49.292,1.897210817
49.333,1.897210817
49.375,1.897210817
49.417,1.897210817
49.458,1.897210817
49.5,1.897210817
49.542,1.897210817
49.583,1.897210817
49.625,1.897210817
49.667,1.897210817
49.708,1.897210817
49.75,1.897210817
49.792,1.897210817
49.833,1.897210817
49.875,1.897210817
49.917,1.897210817
49.958,1.897210817
50,1.472462127
50.042,1.472462127
50.083,1.472462127
50.125,1.472462127
50.167,1.472462127
50.208,1.472462127
50.25,1.472462127
50.292,1.472462127
50.333,1.472462127
50.375,1.472462127
50.417,1.472462127
50.458,1.472462127
50.5,1.472462127
50.542,1.472462127
50.583,1.472462127
50.625,1.472462127
50.667,1.472462127
50.708,1.472462127
50.75,1.472462127
50.792,1.472462127
50.833,1.472462127
50.875,1.472462127
50.917,1.472462127
50.958,1.472462127
51,1.557411865
51.042,1.557411865
51.083,1.557411865
51.125,1.557411865
51.167,1.557411865
51.208,1.557411865
51.25,1.557411865
51.292,1.557411865
51.333,1.557411865
51.375,1.557411865
51.417,1.557411865
51.458,1.557411865
51.5,1.557411865
51.542,1.557411865
51.583,1.557411865
51.625,1.557411865
51.667,1.557411865
51.708,1.557411865
51.75,1.557411865
51.792,1.557411865
51.833,1.557411865
51.875,1.557411865
51.917,1.557411865
51.958,1.557411865
52,1.132663174
52.042,1.132663174
52.083,1.132663174
52.125,1.132663174
52.167,1.132663174
52.208,1.132663174
52.25,1.132663174
52.292,1.132663174
52.333,1.132663174
52.375,1.132663174
52.417,1.132663174
52.458,1.132663174
52.5,1.132663174
52.542,1.132663174
52.583,1.132663174
52.625,1.132663174
52.667,1.132663174
52.708,1.132663174
52.75,1.132663174
52.792,1.132663174
52.833,1.132663174
52.875,1.132663174
52.917,1.132663174
52.958,1.132663174
53,1.897210817
53.042,1.897210817
53.083,1.897210817
53.125,1.897210817
53.167,1.897210817
53.208,1.897210817
53.25,1.897210817
53.292,1.897210817
53.333,1.897210817
53.375,1.897210817
53.417,1.897210817
53.458,1.897210817
53.5,1.897210817
53.542,1.897210817
53.583,1.897210817
53.625,1.897210817
53.667,1.897210817
53.708,1.897210817
53.75,1.897210817
53.792,1.897210817
53.833,1.897210817
53.875,1.897210817
53.917,1.897210817
53.958,1.897210817
54,1.217612912
54.042,1.217612912
54.083,1.217612912
54.125,1.217612912
54.167,1.217612912
54.208,1.217612912
54.25,1.217612912
54.292,1.217612912
54.333,1.217612912
54.375,1.217612912
54.417,1.217612912
54.458,1.217612912
54.5,1.217612912
54.542,1.217612912
54.583,1.217612912
54.625,1.217612912
54.667,1.217612912
54.708,1.217612912
54.75,1.217612912
54.792,1.217612912
54.833,1.217612912
54.875,1.217612912
54.917,1.217612912
54.958,1.217612912
55,0.962763698
55.042,0.962763698
55.083,0.962763698
55.125,0.962763698
55.167,0.962763698
55.208,0.962763698
55.25,0.962763698
55.292,0.962763698
55.333,0.962763698
55.375,0.962763698
55.417,0.962763698
55.458,0.962763698
55.5,0.962763698
55.542,0.962763698
55.583,0.962763698
55.625,0.962763698
55.667,0.962763698
55.708,0.962763698
55.75,0.962763698
55.792,0.962763698
55.833,0.962763698
55.875,0.962763698
55.917,0.962763698
55.958,0.962763698
56,1.189296333
56.042,1.189296333
56.083,1.189296333
56.125,1.189296333
56.167,1.189296333
56.208,1.189296333
56.25,1.189296333
56.292,1.189296333
56.333,1.189296333
56.375,1.189296333
56.417,1.189296333
56.458,1.189296333
56.5,1.189296333
56.542,1.189296333
56.583,1.189296333
56.625,1.189296333
56.667,1.189296333
56.708,1.189296333
56.75,1.189296333
56.792,1.189296333
56.833,1.189296333
56.875,1.189296333
56.917,1.189296333
56.958,1.189296333
57,1.75562792
57.042,1.75562792
57.083,1.75562792
57.125,1.75562792
57.167,1.75562792
57.208,1.75562792
57.25,1.75562792
57.292,1.75562792
57.333,1.75562792
57.375,1.75562792
57.417,1.75562792
57.458,1.75562792
57.5,1.75562792
57.542,1.75562792
57.583,1.75562792
57.625,1.75562792
57.667,1.75562792
57.708,1.75562792
57.75,1.75562792
57.792,1.75562792
57.833,1.75562792
57.875,1.75562792
57.917,1.75562792
57.958,1.75562792
58,0.821180801
58.042,0.821180801
58.083,0.821180801
58.125,0.821180801
58.167,0.821180801
58.208,0.821180801
58.25,0.821180801
58.292,0.821180801
58.333,0.821180801
58.375,0.821180801
58.417,0.821180801
58.458,0.821180801
58.5,0.821180801
58.542,0.821180801
58.583,0.821180801
58.625,0.821180801
58.667,0.821180801
58.708,0.821180801
58.75,0.821180801
58.792,0.821180801
58.833,0.821180801
58.875,0.821180801
58.917,0.821180801
58.958,0.821180801
59,2.548492142
59.042,2.548492142
59.083,2.548492142
59.125,2.548492142
