Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
113,  1,       11150.00,   517534.12500,  4508391.48982, 10,   564.890
112,  1,       11050.00,   517633.36824,  4508382.81345, 10,   559.890
111,  1,       10950.00,   517732.61149,  4508374.13708, 10,   560.890
110,  1,       10850.00,   517799.70940,  4508421.11266, 10,   558.390
109,  1,       10750.00,   517791.82523,  4508511.41003, 10,   558.890
108,  1,       10650.00,   517734.70171,  4508593.02214, 10,   559.890
107,  1,       10550.00,   517670.41885,  4508669.62314, 10,   558.890
106,  1,       10450.00,   517609.58548,  4508748.87206, 10,   557.890
105,  1,       10350.00,   517542.60673,  4508821.97820, 10,   558.390
104,  1,       10250.00,   517457.32750,  4508871.21556, 10,   559.890
103,  1,       10150.00,   517363.34269,  4508905.37482, 10,   561.390
102,  1,       10050.00,   517266.35029,  4508922.43499, 10,   562.890
101,  1,        9950.00,   517167.11058,  4508931.10179, 10,   562.890
100,  1,        9850.00,   517068.62924,  4508931.11273, 10,   563.390
 99,  1,        9750.00,   516972.40850,  4508905.32121, 10,   563.390
 98,  1,        9650.00,   516876.18776,  4508879.52969, 10,   564.890
 97,  1,        9550.00,   516776.94613,  4508870.83491, 10,   565.390
 96,  1,        9450.00,   516677.70642,  4508879.50171, 10,   564.890
 95,  1,        9350.00,   516585.16575,  4508913.18850, 10,   564.390
 94,  1,        9250.00,   516509.72336,  4508976.48954, 10,   564.390
 93,  1,        9150.00,   516460.47531,  4509061.77263, 10,   564.390
 92,  1,        9050.00,   516439.01495,  4509158.56530, 10,   564.390
 91,  1,        8950.00,   516425.99593,  4509257.61880, 10,   564.390
 90,  1,        8850.00,   516400.22403,  4509353.84479, 10,   564.890
 89,  1,        8750.00,   516374.45213,  4509450.07078, 10,   566.390
 88,  1,        8650.00,   516365.77758,  4509549.31419, 10,   566.890
 87,  1,        8550.00,   516348.66169,  4509646.29677, 10,   566.390
 86,  1,        8450.00,   516310.43083,  4509738.59786, 10,   566.390
 85,  1,        8350.00,   516264.32450,  4509827.22797, 10,   567.390
 84,  1,        8250.00,   516222.23580,  4509917.52216, 10,   567.390
 83,  1,        8150.00,   516205.12918,  4510014.50475, 10,   566.890
 82,  1,        8050.00,   516230.14655,  4510107.79599, 10,   567.890
 81,  1,        7950.00,   516287.29826,  4510189.39368, 10,   568.390
 80,  1,        7850.00,   516357.74559,  4510259.82666, 10,   569.890
 79,  1,        7750.00,   516439.35492,  4510316.96175, 10,   569.890
 78,  1,        7650.00,   516529.64049,  4510359.05864, 10,   569.890
 77,  1,        7550.00,   516625.86783,  4510384.84236, 10,   569.890
 76,  1,        7450.00,   516725.10593,  4510393.52756, 10,   568.890
 75,  1,        7350.00,   516822.08820,  4510376.40991, 10,   569.890
 74,  1,        7250.00,   516918.31373,  4510350.63624, 10,   570.390
 73,  1,        7150.00,   517017.55697,  4510341.95987, 10,   570.890
 72,  1,        7050.00,   517116.79507,  4510350.64507, 10,   571.890
 71,  1,        6950.00,   517211.33874,  4510380.49239, 10,   569.890
 70,  1,        6850.00,   517304.94065,  4510414.58513, 10,   570.390
