$Lewiston inflow sum of individual outflows from Trinity Lake year 2019 YC updated 8/7/23,
",,,",
Julian Date,Inflow
67.042,19.0240002
67.083,18.2399998
67.125,16.1399994
67.167,16.0650005
67.208,16.0639992
67.25,17.2479992
67.292,20.7250004
67.333,16.0949993
67.375,15.8940001
67.417,15.8009996
67.458,15.9770002
67.5,15.9840002
67.542,17.3530006
67.583,16.0869999
67.625,16.2080002
67.667,15.8780003
67.708,16.9300003
67.75,17.9370003
67.792,18.9440002
67.833,17.3850002
67.875,16.1240005
67.917,15.8599997
67.958,15.8330002
68,15.9029999
68.042,15.7419996
68.083,15.8669996
68.125,15.7720003
68.167,15.8319998
68.208,15.8559999
68.25,15.8120003
68.292,15.8710003
68.333,15.8059998
68.375,15.776
68.417,15.8760004
68.458,15.7740002
68.5,15.8669996
68.542,15.9099998
68.583,15.816
68.625,15.901
68.667,15.802
68.708,15.7989998
68.75,15.8380003
68.792,15.8079996
68.833,15.9370003
68.875,15.9040003
68.917,16.1639996
68.958,16.5259991
69,16.0200005
69.042,20.9020004
69.083,16.0109997
69.125,14.8719997
69.167,15.7939997
69.208,16.2210007
69.25,20.8080006
69.292,16.0359993
69.333,15.9280005
69.375,15.9910002
69.417,15.9540005
69.458,16.0090008
69.5,15.8140001
69.542,16.0020008
69.583,15.8900003
69.625,15.8210001
69.667,15.816
69.708,15.8800001
69.75,15.8240004
69.792,15.8830004
69.833,15.8059998
69.875,16.0860004
69.917,21.0750008
69.958,21.1900005
70,16.1040001
70.042,15.7309999
70.083,15.7510004
70.125,15.7379999
70.167,15.8430004
70.208,15.9899998
70.25,21.4669991
70.292,38.4000015
70.333,30.0219994
70.375,15.8050003
70.417,15.875
70.458,15.7849998
70.5,15.7080002
70.542,15.8210001
70.583,15.717
70.625,15.8389997
70.667,15.7849998
70.708,15.7779999
70.75,16.1359997
70.792,22.6420002
70.833,22.9960003
70.875,21.3369999
70.917,21.4650002
70.958,21.0149994
71,16.1110001
71.042,15.8870001
71.083,15.8409996
71.125,15.8719997
71.167,15.8079996
71.208,15.9099998
71.25,15.9379997
71.292,15.9309998
71.333,16.6620007
71.375,15.8760004
71.417,15.7869997
71.458,15.8009996
71.5,15.816
71.542,15.9119997
71.583,15.8210001
71.625,15.8059998
71.667,16.1110001
71.708,17.0709991
71.75,20.0970001
71.792,15.9130001
71.833,15.8179998
71.875,15.8269997
71.917,15.9049997
71.958,15.7799997
72,15.8050003
72.042,15.8050003
72.083,15.7700005
72.125,15.8540001
72.167,15.7279997
72.208,15.868
72.25,21.9470005
72.292,24.5790005
72.333,16.0499992
72.375,15.6969995
72.417,15.8500004
72.458,15.9280005
72.5,15.9429998
72.542,15.7410002
72.583,15.8590002
72.625,15.842
72.667,15.8000002
72.708,15.9029999
72.75,15.8129997
72.792,15.8310003
72.833,15.849
72.875,15.9200001
72.917,15.9440002
72.958,15.9919996
73,15.8979998
73.042,15.8380003
73.083,15.9589996
73.125,15.9750004
73.167,15.8459997
73.208,15.7810001
73.25,15.7329998
73.292,15.816
73.333,15.8710003
73.375,15.868
73.417,15.8690004
73.458,15.8850002
73.5,16.0340004
73.542,15.7639999
73.583,15.7130003
73.625,15.7329998
73.667,15.8590002
73.708,15.7790003
73.75,15.7309999
73.792,15.7910004
73.833,15.7469997
73.875,15.7679996
73.917,15.7930002
73.958,15.6999998
74,15.776
74.042,15.8310003
74.083,15.7950001
74.125,15.8889999
74.167,15.7810001
74.208,15.7580004
74.25,15.7060003
74.292,15.8380003
74.333,15.8970003
74.375,15.8579998
74.417,15.9379997
74.458,15.9849997
74.5,15.8610001
74.542,15.9029999
74.583,15.8109999
74.625,15.948
74.667,16.4150009
74.708,27.6609993
74.75,18.0189991
74.792,17.9249992
74.833,17.1380005
74.875,16.3129997
74.917,15.8369999
74.958,15.8079996
75,15.8520002
75.042,15.8100004
75.083,15.7799997
75.125,15.7770004
75.167,15.7360001
75.208,15.7889996
75.25,15.8000002
75.292,18.2579994
75.333,18.0370007
75.375,16.4799995
75.417,15.8979998
75.458,15.7110004
75.5,15.6680002
75.542,15.8039999
75.583,22.6030006
75.625,16.2250004
75.667,18.8999996
75.708,18.7989998
75.75,24.7819996
75.792,24.2070007
75.833,16.3199997
75.875,15.7519999
75.917,16.2269993
75.958,16.1340008
76,15.849
76.042,15.9060001
76.083,15.7650003
76.125,15.8870001
76.167,15.8319998
76.208,15.8000002
76.25,18.2210007
76.292,16.4529991
76.333,15.8360004
76.375,15.96
76.417,15.8380003
76.458,15.8290005
76.5,15.8549995
76.542,15.724
76.583,15.7139997
76.625,15.71
76.667,15.7539997
76.708,16.9459991
76.75,44.1839981
76.792,17.1760006
76.833,15.8760004
76.875,15.927
76.917,16.1259995
76.958,25.1329994
77,16.2029991
77.042,15.8500004
77.083,15.8120003
77.125,15.9759998
77.167,22.2609997
77.208,16.1560001
77.25,15.7600002
77.292,15.9680004
77.333,15.7860003
77.375,15.8210001
77.417,15.7329998
77.458,15.8240004
77.5,15.8579998
77.542,15.8070002
77.583,15.8310003
77.625,15.8030005
77.667,15.993
77.708,15.8210001
77.75,16.0249996
77.792,15.7690001
77.833,17.0809994
77.875,48.1850014
77.917,17.1170006
77.958,16.3519993
78,27.7560005
78.042,16.5079994
78.083,15.7329998
78.125,15.7229996
78.167,15.8629999
78.208,18.5039997
78.25,18.5529995
78.292,18.4029999
78.333,2.302
78.375,0.085
78.417,0.085
78.458,0.085
78.5,0.085
78.542,0.085
78.583,0.085
78.625,0.085
78.667,0.085
78.708,0.085
78.75,0.085
78.792,0.085
78.833,0.085
78.875,0.085
78.917,0.085
78.958,0.085
79,0.085
79.042,0.085
79.083,0.085
79.125,0.085
79.167,0.085
79.208,0.085
79.25,0.085
79.292,0.085
79.333,0.085
79.375,0.085
79.417,0.085
79.458,0.085
79.5,0.085
79.542,2.0869999
79.583,13.3210001
79.625,15.6789999
79.667,15.6859999
79.708,15.7349997
79.75,15.7510004
79.792,15.802
79.833,15.7139997
79.875,15.684
79.917,15.7060003
79.958,15.7939997
80,15.7019997
80.042,15.7030001
80.083,15.6920004
80.125,15.6969995
80.167,15.7040005
80.208,15.717
80.25,15.6639996
80.292,15.7519999
80.333,15.7259998
80.375,15.8760004
80.417,15.71
80.458,15.7080002
80.5,15.9980001
80.542,15.7889996
80.583,15.7489996
80.625,15.7690001
80.667,15.7270002
80.708,15.7770004
80.75,15.658
80.792,15.6739998
80.833,15.8140001
80.875,15.8000002
80.917,15.7089996
80.958,15.717
81,2.8440001
81.042,0.085
81.083,0.085
81.125,0.085
81.167,0.085
81.208,0.085
81.25,0.085
81.292,0.085
81.333,0.085
81.375,0.085
81.417,0.085
81.458,0.085
81.5,0.085
81.542,0.085
81.583,0.085
81.625,0.085
81.667,5.1090002
81.708,44.7029991
81.75,46.7709999
81.792,46.5810013
81.833,44.9169998
81.875,3.131
81.917,0.085
81.958,0.085
82,0.085
82.042,0.085
82.083,0.085
82.125,0.085
82.167,0.085
82.208,0.085
82.25,0.085
82.292,0.085
82.333,0.085
82.375,0.085
82.417,0.085
82.458,0.085
82.5,0.085
82.542,0.085
82.583,0.085
82.625,0.085
82.667,3.382
82.708,44.8709984
82.75,46.5740013
82.792,45.9609985
82.833,30.5830002
82.875,2.566
82.917,0.085
82.958,0.085
83,0.085
83.042,0.085
83.083,0.085
83.125,0.085
83.167,0.085
83.208,0.085
83.25,0.085
83.292,0.085
83.333,0.085
83.375,0.085
83.417,0.085
83.458,0.085
83.5,0.085
83.542,0.085
83.583,0.085
83.625,0.085
83.667,4.9520001
83.708,44.6380005
83.75,46.5099983
83.792,45.4230003
83.833,25.6569996
83.875,2.454
83.917,0.085
83.958,0.085
84,0.085
84.042,0.085
84.083,0.085
84.125,0.085
84.167,0.085
84.208,0.085
84.25,0.085
84.292,0.085
84.333,0.085
84.375,0.085
84.417,0.085
84.458,0.085
84.5,0.085
84.542,0.085
84.583,0.085
84.625,0.085
84.667,3.0639999
84.708,40.4309998
84.75,41.6300011
84.792,41.1030006
84.833,28.0499992
84.875,2.4560001
84.917,0.085
84.958,0.085
85,0.085
85.042,0.085
85.083,0.085
85.125,0.085
85.167,0.085
85.208,0.085
85.25,0.085
85.292,0.085
85.333,0.085
85.375,0.085
85.417,0.085
85.458,0.085
85.5,0.085
85.542,0.085
85.583,0.085
85.625,0.085
85.667,0.085
85.708,0.085
85.75,0.085
85.792,0.085
85.833,0.085
85.875,0.085
85.917,0.085
85.958,0.085
86,0.085
86.042,0.085
86.083,0.085
86.125,0.085
86.167,0.085
86.208,0.085
86.25,0.085
86.292,0.085
86.333,0.085
86.375,0.085
86.417,0.085
86.458,0.085
86.5,0.085
86.542,0.085
86.583,0.085
86.625,0.085
86.667,0.085
86.708,0.085
86.75,0.085
86.792,0.085
86.833,0.085
86.875,0.085
86.917,0.085
86.958,0.085
87,0.085
87.042,0.085
87.083,0.085
87.125,0.085
87.167,0.085
87.208,58.4770012
87.25,68.1210022
87.292,68.1210022
87.333,68.1220016
87.375,23.8799992
87.417,0.176
87.458,0.085
87.5,0.085
87.542,0.085
87.583,0.085
87.625,0.085
87.667,0.085
87.708,0.085
87.75,8.8900003
87.792,36.5849991
87.833,36.5040016
87.875,2.9619999
87.917,0.085
87.958,0.085
88,0.085
88.042,0.085
88.083,0.085
88.125,0.085
88.167,0.085
88.208,0.085
88.25,0.085
88.292,0.085
88.333,0.085
88.375,0.085
88.417,0.085
88.458,0.085
88.5,0.085
88.542,0.085
88.583,0.085
88.625,0.085
88.667,0.085
88.708,0.893
88.75,16.7590008
88.792,44.6479988
88.833,45.9889984
88.875,44.2750015
88.917,4.2680001
88.958,0.085
89,0.085
89.042,0.085
89.083,0.085
89.125,0.085
89.167,0.085
89.208,0.085
89.25,0.085
89.292,0.085
89.333,0.085
89.375,0.085
89.417,0.085
89.458,0.085
89.5,0.085
89.542,0.085
89.583,0.085
89.625,0.085
89.667,0.085
89.708,0.085
89.75,4.973
89.792,48.7330017
89.833,48.5909996
89.875,3.8210001
89.917,0.085
89.958,0.085
90,0.085
90.042,0.085
90.083,0.085
90.125,0.085
90.167,0.085
90.208,0.085
90.25,0.085
90.292,0.085
90.333,0.085
90.375,0.085
90.417,0.085
90.458,0.085
90.5,0.085
90.542,0.085
90.583,0.085
90.625,0.085
90.667,0.085
90.708,0.085
90.75,6.0739999
90.792,48.473999
90.833,48.5200005
90.875,3.145
90.917,0.085
90.958,0.085
91,0.085
91.042,0.085
91.083,0.085
91.125,0.085
91.167,0.085
91.208,0.085
91.25,0.085
91.292,0.085
91.333,0.085
91.375,0.085
91.417,0.085
91.458,0.085
91.5,0.085
91.542,0.085
91.583,0.085
91.625,0.085
91.667,0.085
91.708,0.296
91.75,34.1570015
91.792,50.3050003
91.833,50.5890007
91.875,48.4379997
91.917,4.0960002
91.958,0.085
92,0.085
92.042,0.085
92.083,0.085
92.125,0.085
92.167,0.085
92.208,0.085
92.25,0.085
92.292,0.085
92.333,0.085
92.375,0.085
92.417,0.085
92.458,0.085
92.5,0.085
92.542,0.085
92.583,0.085
92.625,0.085
92.667,0.085
92.708,3.0929999
92.75,43.9840012
92.792,45.7789993
92.833,44.0460014
92.875,3.9070001
92.917,0.085
92.958,0.085
93,0.085
93.042,0.085
93.083,0.085
93.125,0.085
93.167,0.085
93.208,0.085
93.25,0.085
93.292,0.085
93.333,0.085
93.375,0.085
93.417,0.085
93.458,0.085
93.5,0.085
93.542,0.085
93.583,0.085
93.625,0.085
93.667,0.085
93.708,3.138
93.75,48.3209991
93.792,50.1650009
93.833,48.4519997
93.875,3.122
93.917,0.085
93.958,0.085
94,0.085
94.042,0.085
94.083,0.085
94.125,0.085
94.167,0.085
94.208,0.085
94.25,0.085
94.292,0.085
94.333,0.085
94.375,0.085
94.417,0.085
94.458,0.085
94.5,0.085
94.542,0.085
94.583,0.085
94.625,0.085
94.667,0.085
94.708,8.2379999
94.75,32.7519989
94.792,33.6759987
94.833,33.7330017
94.875,32.6489983
94.917,2.779
94.958,0.085
95,0.085
95.042,0.085
95.083,0.085
95.125,0.085
95.167,0.085
95.208,0.085
95.25,0.085
95.292,0.085
95.333,0.085
95.375,0.085
95.417,0.085
95.458,0.085
95.5,0.085
95.542,0.085
95.583,0.085
95.625,0.085
95.667,0.085
95.708,5.0900002
95.75,39.6110001
95.792,40.973999
95.833,40.9589996
95.875,39.637001
95.917,3.0420001
95.958,0.085
96,0.085
96.042,0.085
96.083,0.085
96.125,0.085
96.167,0.085
96.208,0.085
96.25,0.085
96.292,0.085
96.333,0.085
96.375,0.085
96.417,0.085
96.458,0.085
96.5,0.085
96.542,0.085
96.583,0.085
96.625,2.527
96.667,29.2390003
96.708,29.9249992
96.75,22.9810009
96.792,22.5209999
96.833,22.6709995
96.875,21.8479996
96.917,2.2379999
96.958,0.085
97,0.085
97.042,0.085
97.083,0.085
97.125,0.085
97.167,0.085
97.208,0.085
97.25,0.085
97.292,0.085
97.333,0.085
97.375,0.085
97.417,0.085
97.458,0.085
97.5,0.085
97.542,0.085
97.583,0.085
97.625,0.136
97.667,16.566
97.708,39.5680008
97.75,40.6959991
97.792,40.4970016
97.833,32.9469986
97.875,16.2800007
97.917,1.5599999
97.958,0.085
98,0.085
98.042,0.085
98.083,0.085
98.125,0.085
98.167,0.085
98.208,0.085
98.25,0.085
98.292,0.085
98.333,0.085
98.375,0.085
98.417,0.085
98.458,0.085
98.5,0.085
98.542,0.085
98.583,0.085
98.625,0.085
98.667,6.29
98.708,36.355999
98.75,36.8400002
98.792,36.1290016
98.833,36.2019997
98.875,24.5440006
98.917,2.4400001
98.958,0.085
99,0.085
99.042,0.085
99.083,0.085
99.125,0.085
99.167,0.085
99.208,0.085
99.25,0.085
99.292,0.085
99.333,0.085
99.375,0.085
99.417,0.085
99.458,0.085
99.5,0.085
99.542,0.085
99.583,0.085
99.625,0.085
99.667,2.563
99.708,28.8899994
99.75,29.7280006
99.792,36.2630005
99.833,35.4729996
99.875,2.931
99.917,0.085
99.958,0.085
100,0.085
100.042,0.085
100.083,0.085
100.125,0.085
100.167,0.085
100.208,0.085
100.25,0.085
100.292,0.085
100.333,0.085
100.375,0.085
100.417,0.085
100.458,0.085
100.5,0.085
100.542,0.085
100.583,0.085
100.625,0.085
100.667,6.4809999
100.708,16.1119995
100.75,30.2679996
100.792,32.9690018
100.833,31.9890003
100.875,2.7409999
100.917,0.085
100.958,0.085
101,0.085
101.042,0.085
101.083,0.085
101.125,0.085
101.167,0.085
101.208,0.085
101.25,0.085
101.292,0.085
101.333,0.085
101.375,0.085
101.417,0.085
101.458,0.085
101.5,0.085
101.542,0.085
101.583,0.085
101.625,0.085
101.667,8.4049997
101.708,21.6520004
101.75,26.7240009
101.792,39.9790001
101.833,38.2869987
101.875,3.4890001
101.917,0.085
101.958,0.085
102,0.085
102.042,0.085
102.083,0.085
102.125,0.085
102.167,0.085
102.208,0.085
102.25,0.085
102.292,0.085
102.333,0.085
102.375,0.085
102.417,0.085
102.458,0.085
102.5,0.085
102.542,0.085
102.583,0.085
102.625,0.085
102.667,0.085
102.708,1.072
102.75,39.257
102.792,39.7770004
102.833,39.7840004
102.875,38.2879982
102.917,3.7720001
102.958,0.085
103,0.085
103.042,0.085
103.083,0.085
103.125,0.085
103.167,0.085
103.208,0.085
103.25,0.085
103.292,0.085
103.333,0.085
103.375,0.085
103.417,0.085
103.458,0.085
103.5,0.085
103.542,0.085
103.583,0.085
103.625,0.085
103.667,0.085
103.708,2.7880001
103.75,38.1739998
103.792,39.8089981
103.833,39.5690002
103.875,38.2849998
103.917,3.1830001
103.958,0.085
104,0.085
104.042,0.085
104.083,0.085
104.125,0.085
104.167,0.085
104.208,0.085
104.25,0.085
104.292,0.085
104.333,0.085
104.375,0.085
104.417,0.085
104.458,0.085
104.5,0.085
104.542,0.085
104.583,0.085
104.625,2.806
104.667,39.3950005
104.708,39.5820007
104.75,39.6160011
104.792,39.6040001
104.833,39.6300011
104.875,39.6389999
104.917,39.6699982
104.958,39.6609993
105,39.6619987
105.042,39.651001
105.083,39.6809998
105.125,39.6949997
105.167,39.6749992
105.208,39.7050018
105.25,39.5760002
105.292,41.1500015
105.333,39.6619987
105.375,39.5480003
105.417,39.75
105.458,40.0789986
105.5,40.3450012
105.542,40.6980019
105.583,39.4900017
105.625,99.7519989
105.667,158.6170044
105.708,155.8159943
105.75,100.5810013
105.792,100.1880035
105.833,96.8860016
105.875,96.7979965
105.917,96.4069977
105.958,96.4059982
106,99.0780029
106.042,96.4229965
106.083,96.4410019
106.125,97.3389969
106.167,96.4290009
106.208,96.4280014
106.25,99.3590012
106.292,98.9889984
106.333,101.1910019
106.375,96.7419968
106.417,97.2870026
106.458,96.5719986
106.5,96.8430023
106.542,96.836998
106.583,96.439003
106.625,96.8379974
106.667,96.3690033
106.708,96.4820023
106.75,96.6240005
106.792,97.7850037
106.833,98.7089996
106.875,96.6380005
106.917,96.5579987
106.958,96.5400009
107,96.5390015
107.042,96.5339966
107.083,96.5719986
107.125,96.5159988
107.167,96.5780029
107.208,96.5019989
107.25,96.5179977
107.292,96.5240021
107.333,96.4749985
107.375,136.9620056
107.417,311.5979919
107.458,308.0830078
107.5,307.4949951
107.542,307.5910034
107.583,239.8600006
107.625,237.6609955
107.667,237.5890045
107.708,237.625
107.75,237.5670013
107.792,237.5939941
107.833,296.6640015
107.875,307.42099
107.917,306.5740051
107.958,308.2179871
108,282.9559937
108.042,236.8710022
108.083,238.0789948
108.125,236.798996
108.167,237.4830017
108.208,237.4100037
108.25,237.4389954
108.292,237.4149933
108.333,237.6730042
108.375,231.2910004
108.417,229.3130035
108.458,229.1950073
108.5,228.9210052
108.542,229.0110016
108.583,229.1459961
108.625,229.2640076
108.667,229.2680054
108.708,229.2779999
108.75,229.2689972
108.792,229.2489929
108.833,228.3849945
108.875,212.2460022
108.917,211.5780029
108.958,212.1239929
109,228.2720032
109.042,229.2259979
109.083,229.1990051
109.125,229.147995
109.167,229.1369934
109.208,229.1349945
109.25,229.1820068
109.292,227.5460052
109.333,229.1909943
109.375,228.9279938
109.417,119.5749969
109.458,114.3669968
109.5,114.1969986
109.542,113.862999
109.583,114.4609985
109.625,113.836998
109.667,114.4749985
109.708,113.8519974
109.75,114.4729996
109.792,113.8420029
109.833,114.3379974
109.875,114.5100021
109.917,113.8889999
109.958,114.5130005
110,113.8610001
110.042,114.1949997
110.083,114.2160034
110.125,114.2229996
110.167,114.1999969
110.208,114.1569977
110.25,114.1709976
110.292,114.1569977
110.333,114.151001
110.375,114.1480026
110.417,114.1559982
110.458,114.1689987
110.5,114.1740036
110.542,114.2139969
110.583,114.2310028
110.625,114.1760025
110.667,99.9079971
110.708,74.3889999
110.75,74.3690033
110.792,74.3820038
110.833,74.3290024
110.875,74.3209991
110.917,74.2990036
110.958,74.3190002
111,74.3270035
111.042,74.3170013
111.083,74.2990036
111.125,74.1070023
111.167,74.4990005
111.208,74.0960007
111.25,74.3440018
111.292,74.5319977
111.333,74.1269989
111.375,74.5429993
111.417,74.1070023
111.458,74.262001
111.5,74.2630005
111.542,74.3430023
111.583,74.5289993
111.625,74.1549988
111.667,74.3669968
111.708,74.5289993
111.75,76.6610031
111.792,76.4779968
111.833,76.4720001
111.875,76.4229965
111.917,74.4940033
111.958,74.2870026
112,74.3130035
112.042,74.2890015
112.083,74.3190002
112.125,74.3339996
112.167,74.2419968
112.208,74.3170013
112.25,74.2509995
112.292,74.2470016
112.333,74.2750015
112.375,74.3059998
112.417,74.2929993
112.458,74.2939987
112.5,74.3160019
112.542,74.348999
112.583,74.3160019
112.625,74.3069992
112.667,74.3330002
112.708,74.1190033
112.75,74.3649979
112.792,74.5479965
112.833,74.1429977
112.875,74.0670013
112.917,65.6910019
112.958,59.6119995
113,67.0790024
113.042,67.3970032
113.083,67.4150009
113.125,67.3860016
113.167,67.3669968
113.208,67.3889999
113.25,67.322998
113.292,68.3990021
113.333,67.4209976
113.375,56.9659996
113.417,49.9140015
113.458,56.1749992
113.5,56.4339981
113.542,56.4370003
113.583,56.4770012
113.625,56.4370003
113.667,56.3909988
113.708,56.4539986
113.75,56.4169998
113.792,56.4459991
113.833,56.4020004
113.875,56.387001
113.917,56.3289986
113.958,56.3569984
114,56.3619995
114.042,56.3450012
114.083,56.3419991
114.125,56.1409988
114.167,56.493
114.208,56.3009987
114.25,56.1489983
114.292,56.4630013
114.333,56.1230011
114.375,56.4609985
114.417,56.0960007
114.458,56.3019981
114.5,56.4580002
114.542,56.1259995
114.583,56.2849998
114.625,56.2019997
114.667,56.2729988
114.708,56.3110008
114.75,56.3149986
114.792,56.2680016
114.833,56.2509995
114.875,56.2449989
114.917,56.2410011
114.958,56.2280006
115,56.1759987
115.042,56.1899986
115.083,56.2089996
115.125,56.2360001
115.167,56.1899986
115.208,56.2070007
115.25,56.1940002
115.292,56.1990013
115.333,56.1479988
115.375,56.1879997
115.417,56.1240005
115.458,56.1489983
115.5,56.1920013
115.542,56.1629982
115.583,56.1520004
115.625,56.1030006
115.667,56.1080017
115.708,56.1339989
115.75,56.1459999
115.792,56.1759987
115.833,56.1590004
115.875,55.9360008
115.917,56.2120018
115.958,56.0340004
116,55.8860016
116.042,56.1819992
116.083,55.8619995
116.125,56.1790009
116.167,55.8419991
116.208,56.1020012
116.25,55.8120003
116.292,55.9510002
116.333,56.0769997
116.375,55.7820015
116.417,55.9210014
116.458,55.9039993
116.5,55.9449997
116.542,55.9630013
116.583,55.9259987
116.625,55.9799995
116.667,55.987999
116.708,56.0550003
116.75,55.9990005
116.792,56.0730019
116.833,56.0340004
116.875,56.0769997
116.917,56.0130005
116.958,55.9970016
117,55.9799995
117.042,55.9770012
117.083,55.9669991
117.125,55.9669991
117.167,55.9910011
117.208,55.9700012
117.25,55.9650002
117.292,55.9020004
117.333,56.1660004
117.375,59.3769989
117.417,59.7290001
117.458,59.8209991
117.5,59.8569984
117.542,59.8089981
117.583,59.8300018
117.625,59.8839989
117.667,59.8979988
117.708,59.8030014
117.75,60.118
117.792,59.7490005
117.833,60.105999
117.875,59.8330002
117.917,56.1080017
117.958,56.0589981
118,55.75
118.042,55.9860001
118.083,55.5890007
118.125,55.9020004
118.167,55.8849983
118.208,55.9220009
118.25,55.9169998
118.292,55.8829994
118.333,55.8959999
118.375,55.8889999
118.417,55.9210014
118.458,55.9309998
118.5,55.9239998
118.542,55.9370003
118.583,55.9049988
118.625,75.2180023
118.667,93.4169998
118.708,93.4889984
118.75,93.4580002
118.792,93.4720001
118.833,93.4970016
118.875,93.4779968
118.917,93.4629974
118.958,93.3639984
119,90.4199982
119.042,90.1969986
119.083,90.2160034
119.125,90.2050018
119.167,90.1549988
119.208,90.1880035
119.25,90.2009964
119.292,130.4759979
119.333,163.2400055
119.375,209.1959991
119.417,323.4830017
119.458,270.8590088
119.5,273.4190063
119.542,282.4360046
119.583,335.5140076
119.625,344.0580139
119.667,326.3829956
119.708,300.4079895
119.75,301.2609863
119.792,301.2799988
119.833,301.1860046
119.875,302
119.917,300.3540039
119.958,300.9060059
120,297.7600098
120.042,297.697998
120.083,297.6870117
120.125,297.6820068
120.167,297.631012
120.208,297.644989
120.25,297.5130005
120.292,297.5960083
120.333,297.5870056
120.375,297.5899963
120.417,297.6289978
120.458,297.6119995
120.5,297.6520081
120.542,297.605011
120.583,297.618988
120.625,264.8510132
120.667,227.0390015
120.708,226.9880066
120.75,227.0169983
120.792,226.996994
120.833,226.9620056
120.875,226.9819946
120.917,226.3350067
120.958,211.6880035
121,225.5870056
121.042,227.6380005
121.083,227.0140076
121.125,226.3569946
121.167,227.6640015
121.208,225.4680023
121.25,197.4349976
121.292,194.7649994
121.333,195.3049927
121.375,95.5230026
121.417,0.085
121.458,0.085
121.5,0.085
121.542,58.7649994
121.583,92.0839996
121.625,113.1380005
121.667,113.1869965
121.708,113.3180008
121.75,113.3519974
121.792,113.3450012
121.833,113.3290024
121.875,113.2839966
121.917,113.2429962
121.958,113.163002
122,106.4869995
122.042,106.1500015
122.083,106.1650009
122.125,106.1360016
122.167,106.1490021
122.208,72.4889984
122.25,35.5839996
122.292,36.3829994
122.333,35.5419998
122.375,35.5159988
122.417,35.5050011
122.458,35.5089989
122.5,66.6760025
122.542,108.8990021
122.583,109.5749969
122.625,109.3570023
122.667,109.0370026
122.708,109.6569977
122.75,109.1299973
122.792,109.7060013
122.833,109.5029984
122.875,108.9810028
122.917,109.7539978
122.958,109.4629974
123,113.6539993
123.042,113.1350021
123.083,113.4599991
123.125,113.4420013
123.167,113.439003
123.208,113.4840012
123.25,78.5820007
123.292,42.6920013
123.333,42.6910019
123.375,42.6599998
123.417,42.6030006
123.458,42.5999985
123.5,42.5820007
123.542,42.5439987
123.583,102.1159973
123.625,113.2529984
123.667,113.2440033
123.708,113.2610016
123.75,113.237999
123.792,113.3059998
123.833,113.2860031
123.875,113.2740021
123.917,113.2870026
123.958,113.2910004
124,113.2939987
124.042,113.3389969
124.083,98.8010025
124.125,42.644001
124.167,42.5099983
124.208,42.6619987
124.25,42.5410004
124.292,42.4449997
124.333,42.6240005
124.375,42.3619995
124.417,42.5670013
124.458,94.7720032
124.5,112.8180008
124.542,113.4670029
124.583,112.8150024
124.625,113.112999
124.667,113.4329987
124.708,112.8170013
124.75,113.1409988
124.792,113.1729965
124.833,113.2590027
124.875,113.1959991
124.917,113.2210007
124.958,113.2040024
125,50.6609993
125.042,42.5629997
125.083,42.507
125.125,42.5110016
125.167,42.5139999
125.208,42.4910011
125.25,42.4370003
125.292,42.3909988
125.333,42.3930016
125.375,42.4090004
125.417,42.3440018
125.458,66.8399963
125.5,113.0839996
125.542,113.1959991
125.583,113.1729965
125.625,113.2669983
125.667,113.185997
125.708,113.2559967
125.75,113.2109985
125.792,113.2429962
125.833,113.2870026
125.875,113.2529984
125.917,113.3349991
125.958,72.2730026
126,42.5340004
126.042,42.4160004
126.083,42.6479988
126.125,42.3989983
126.167,42.4830017
126.208,42.4480019
126.25,42.5690002
126.292,42.2859993
126.333,42.5270004
126.375,42.2109985
126.417,42.3390007
126.458,42.3129997
126.5,70.4919968
126.542,113.0690002
126.583,113.0920029
126.625,113.0810013
126.667,113.0879974
126.708,113.1289978
126.75,113.1320038
126.792,113.1880035
126.833,113.197998
126.875,58.0419998
126.917,42.4280014
126.958,42.4140015
127,42.4029999
127.042,42.3580017
127.083,42.4020004
127.125,42.3849983
127.167,42.3120003
127.208,42.3269997
127.25,42.3450012
127.292,42.3170013
127.333,42.2840004
127.375,42.276001
127.417,42.2729988
127.458,65.387001
127.5,113.1029968
127.542,113.1610031
127.583,113.2060013
127.625,112.8980026
127.667,113.5240021
127.708,112.8889999
127.75,113.5329971
127.792,113.25
127.833,36.6969986
127.875,42.5320015
127.917,42.2809982
127.958,42.4029999
128,38.5429993
128.042,38.5810013
128.083,38.6360016
128.125,38.3709984
128.167,38.487999
128.208,38.4889984
128.25,38.4690018
128.292,38.4720001
128.333,38.4700012
128.375,98.1949997
128.417,109.3190002
128.458,109.3450012
128.5,109.3560028
128.542,109.3619995
128.583,109.3479996
128.625,109.3270035
128.667,99.8010025
128.708,38.6469994
128.75,38.6040001
128.792,38.6300011
128.833,38.519001
128.875,38.4990005
128.917,40.4039993
128.958,109.2340012
129,109.3450012
129.042,109.3330002
129.083,109.3430023
129.125,109.3809967
129.167,109.375
129.208,42.9199982
129.25,38.5219994
129.292,38.5449982
129.333,38.4860001
129.375,38.4889984
129.417,38.5040016
129.458,38.4500008
129.5,38.4599991
129.542,38.2980003
129.583,38.5320015
129.625,38.4370003
129.667,104.7350006
129.708,109.3219986
129.75,109.0479965
129.792,110.7089996
129.833,108.9950027
129.875,109.2860031
129.917,109.6610031
129.958,109.0530014
130,109.3980026
130.042,83.2600021
130.083,38.5239983
130.125,38.5050011
