$Trinity Lake Br1 inflow Tw year 2017 updated YC 06/01/23,
",,,",
Jday,Trinity R
1,2.95
1.042,2.95
1.083,2.95
1.125,2.95
1.167,2.95
1.208,2.95
1.25,2.95
1.292,2.95
1.333,2.95
1.375,2.95
1.417,2.95
1.458,2.95
1.5,2.95
1.542,2.95
1.583,2.95
1.625,2.95
1.667,2.95
1.708,2.95
1.75,2.95
1.792,2.95
1.833,2.95
1.875,2.95
1.917,2.95
1.958,2.95
2,2.39
2.042,2.39
2.083,2.39
2.125,2.39
2.167,2.39
2.208,2.39
2.25,2.39
2.292,2.39
2.333,2.39
2.375,2.39
2.417,2.39
2.458,2.39
2.5,2.39
2.542,2.39
2.583,2.39
2.625,2.39
2.667,2.39
2.708,2.39
2.75,2.39
2.792,2.39
2.833,2.39
2.875,2.39
2.917,2.39
2.958,2.39
3,1.79
3.042,1.79
3.083,1.79
3.125,1.79
3.167,1.79
3.208,1.79
3.25,1.79
3.292,1.79
3.333,1.79
3.375,1.79
3.417,1.79
3.458,1.79
3.5,1.79
3.542,1.79
3.583,1.79
3.625,1.79
3.667,1.79
3.708,1.79
3.75,1.79
3.792,1.79
3.833,1.79
3.875,1.79
3.917,1.79
3.958,1.79
4,2.11
4.042,2.11
4.083,2.11
4.125,2.11
4.167,2.11
4.208,2.11
4.25,2.11
4.292,2.11
4.333,2.11
4.375,2.11
4.417,2.11
4.458,2.11
4.5,2.11
4.542,2.11
4.583,2.11
4.625,2.11
4.667,2.11
4.708,2.11
4.75,2.11
4.792,2.11
4.833,2.11
4.875,2.11
4.917,2.11
4.958,2.11
5,1.61
5.042,1.61
5.083,1.61
5.125,1.61
5.167,1.61
5.208,1.61
5.25,1.61
5.292,1.61
5.333,1.61
5.375,1.61
5.417,1.61
5.458,1.61
5.5,1.61
5.542,1.61
5.583,1.61
5.625,1.61
5.667,1.61
5.708,1.61
5.75,1.61
5.792,1.61
5.833,1.61
5.875,1.61
5.917,1.61
5.958,1.61
6,0.9
6.042,0.9
6.083,0.9
6.125,0.9
6.167,0.9
6.208,0.9
6.25,0.9
6.292,0.9
6.333,0.9
6.375,0.9
6.417,0.9
6.458,0.9
6.5,0.9
6.542,0.9
6.583,0.9
6.625,0.9
6.667,0.9
6.708,0.9
6.75,0.9
6.792,0.9
6.833,0.9
6.875,0.9
6.917,0.9
6.958,0.9
7,1.97
7.042,1.97
7.083,1.97
7.125,1.97
7.167,1.97
7.208,1.97
7.25,1.97
7.292,1.97
7.333,1.97
7.375,1.97
7.417,1.97
7.458,1.97
7.5,1.97
7.542,1.97
7.583,1.97
7.625,1.97
7.667,1.97
7.708,1.97
7.75,1.97
7.792,1.97
7.833,1.97
7.875,1.97
7.917,1.97
7.958,1.97
8,2.92
8.042,2.92
8.083,2.92
8.125,2.92
8.167,2.92
8.208,2.92
8.25,2.92
8.292,2.92
8.333,2.92
8.375,2.92
8.417,2.92
8.458,2.92
8.5,2.92
8.542,2.92
8.583,2.92
8.625,2.92
8.667,2.92
8.708,2.92
8.75,2.92
8.792,2.92
8.833,2.92
8.875,2.92
8.917,2.92
8.958,2.92
9,4.02
9.042,4.02
9.083,4.02
9.125,4.02
9.167,4.02
9.208,4.02
9.25,4.02
9.292,4.02
9.333,4.02
9.375,4.02
9.417,4.02
9.458,4.02
9.5,4.02
9.542,4.02
9.583,4.02
9.625,4.02
9.667,4.02
9.708,4.02
9.75,4.02
9.792,4.02
9.833,4.02
9.875,4.02
9.917,4.02
9.958,4.02
10,4.55
10.042,4.55
10.083,4.55
10.125,4.55
10.167,4.55
10.208,4.55
10.25,4.55
10.292,4.55
10.333,4.55
10.375,4.55
10.417,4.55
10.458,4.55
10.5,4.55
10.542,4.55
10.583,4.55
10.625,4.55
10.667,4.55
10.708,4.55
10.75,4.55
10.792,4.55
10.833,4.55
10.875,4.55
10.917,4.55
10.958,4.55
11,5.58
11.042,5.58
11.083,5.58
11.125,5.58
11.167,5.58
11.208,5.58
11.25,5.58
11.292,5.58
11.333,5.58
11.375,5.58
11.417,5.58
11.458,5.58
11.5,5.58
11.542,5.58
11.583,5.58
11.625,5.58
11.667,5.58
11.708,5.58
11.75,5.58
11.792,5.58
11.833,5.58
11.875,5.58
11.917,5.58
11.958,5.58
12,4.88
12.042,4.88
12.083,4.88
12.125,4.88
12.167,4.88
12.208,4.88
12.25,4.88
12.292,4.88
12.333,4.88
12.375,4.88
12.417,4.88
12.458,4.88
12.5,4.88
12.542,4.88
12.583,4.88
12.625,4.88
12.667,4.88
12.708,4.88
12.75,4.88
12.792,4.88
12.833,4.88
12.875,4.88
12.917,4.88
12.958,4.88
13,4.56
13.042,4.56
13.083,4.56
13.125,4.56
13.167,4.56
13.208,4.56
13.25,4.56
13.292,4.56
13.333,4.56
13.375,4.56
13.417,4.56
13.458,4.56
13.5,4.56
13.542,4.56
13.583,4.56
13.625,4.56
13.667,4.56
13.708,4.56
13.75,4.56
13.792,4.56
13.833,4.56
13.875,4.56
13.917,4.56
13.958,4.56
14,4.25
14.042,4.25
14.083,4.25
14.125,4.25
14.167,4.25
14.208,4.25
14.25,4.25
14.292,4.25
14.333,4.25
14.375,4.25
14.417,4.25
14.458,4.25
14.5,4.25
14.542,4.25
14.583,4.25
14.625,4.25
14.667,4.25
14.708,4.25
14.75,4.25
14.792,4.25
14.833,4.25
14.875,4.25
14.917,4.25
14.958,4.25
15,3.98
15.042,3.98
15.083,3.98
15.125,3.98
15.167,3.98
15.208,3.98
15.25,3.98
15.292,3.98
15.333,3.98
15.375,3.98
15.417,3.98
15.458,3.98
15.5,3.98
15.542,3.98
15.583,3.98
15.625,3.98
15.667,3.98
15.708,3.98
15.75,3.98
15.792,3.98
15.833,3.98
15.875,3.98
15.917,3.98
15.958,3.98
16,3.87
16.042,3.87
16.083,3.87
16.125,3.87
