$Trinity Lake Br1 inflow year 2017 updated YC 06/1/23,
",,,",
Jday,USBR TL Inflow (QI)
1,15.37590259
1.042,15.37590259
1.083,15.37590259
1.125,15.37590259
1.167,15.37590259
1.208,15.37590259
1.25,15.37590259
1.292,15.37590259
1.333,15.37590259
1.375,15.37590259
1.417,15.37590259
1.458,15.37590259
1.5,15.37590259
1.542,15.37590259
1.583,15.37590259
1.625,15.37590259
1.667,15.37590259
1.708,15.37590259
1.75,15.37590259
1.792,15.37590259
1.833,15.37590259
1.875,15.37590259
1.917,15.37590259
1.958,15.37590259
2,17.4146963
2.042,17.4146963
2.083,17.4146963
2.125,17.4146963
2.167,17.4146963
2.208,17.4146963
2.25,17.4146963
2.292,17.4146963
2.333,17.4146963
2.375,17.4146963
2.417,17.4146963
2.458,17.4146963
2.5,17.4146963
2.542,17.4146963
2.583,17.4146963
2.625,17.4146963
2.667,17.4146963
2.708,17.4146963
2.75,17.4146963
2.792,17.4146963
2.833,17.4146963
2.875,17.4146963
2.917,17.4146963
2.958,17.4146963
3,22.00198216
3.042,22.00198216
3.083,22.00198216
3.125,22.00198216
3.167,22.00198216
3.208,22.00198216
3.25,22.00198216
3.292,22.00198216
3.333,22.00198216
3.375,22.00198216
3.417,22.00198216
3.458,22.00198216
3.5,22.00198216
3.542,22.00198216
3.583,22.00198216
3.625,22.00198216
3.667,22.00198216
3.708,22.00198216
3.75,22.00198216
3.792,22.00198216
3.833,22.00198216
3.875,22.00198216
3.917,22.00198216
3.958,22.00198216
4,16.98994761
4.042,16.98994761
4.083,16.98994761
4.125,16.98994761
4.167,16.98994761
4.208,16.98994761
4.25,16.98994761
4.292,16.98994761
4.333,16.98994761
4.375,16.98994761
4.417,16.98994761
4.458,16.98994761
4.5,16.98994761
4.542,16.98994761
4.583,16.98994761
4.625,16.98994761
4.667,16.98994761
4.708,16.98994761
4.75,16.98994761
4.792,16.98994761
4.833,16.98994761
4.875,16.98994761
4.917,16.98994761
4.958,16.98994761
5,14.78125442
5.042,14.78125442
5.083,14.78125442
5.125,14.78125442
5.167,14.78125442
5.208,14.78125442
5.25,14.78125442
5.292,14.78125442
5.333,14.78125442
5.375,14.78125442
5.417,14.78125442
5.458,14.78125442
5.5,14.78125442
5.542,14.78125442
5.583,14.78125442
5.625,14.78125442
5.667,14.78125442
5.708,14.78125442
5.75,14.78125442
5.792,14.78125442
5.833,14.78125442
5.875,14.78125442
5.917,14.78125442
5.958,14.78125442
6,15.57411865
6.042,15.57411865
6.083,15.57411865
6.125,15.57411865
6.167,15.57411865
6.208,15.57411865
6.25,15.57411865
6.292,15.57411865
6.333,15.57411865
6.375,15.57411865
