$Trinity Lake updated withdrawals year 2017 YC 08/31/22,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
10.167,0.0283,0.0283
10.208,0.0283,0.0283
10.25,0.0283,0.0283
10.292,0.0283,0.0283
10.333,0.0283,0.0283
10.375,0.0283,0.0283
10.417,0.0283,0.0283
10.458,0.0283,0.0283
10.5,0.0283,0.0283
10.542,0.0283,0.0283
10.583,0.0283,0.0283
10.625,0.0283,0.0283
10.667,0.0283,0.0283
10.708,2.0615984,0.0283
10.75,45.1078794,0.0283
10.792,48.1138771,0.0283
10.833,48.3586155,0.0283
10.875,47.044222,0.0283
10.917,3.2731214,0.0283
10.958,0.0283,0.0283
11,0.0283,0.0283
11.042,0.0283,0.0283
11.083,0.0283,0.0283
11.125,0.0283,0.0283
11.167,0.0283,0.0283
11.208,0.0283,0.0283
11.25,1.9115235,0.0283
11.292,45.553095,0.0283
11.333,47.8443196,0.0283
11.375,46.8181616,0.0283
11.417,3.2273886,0.0283
11.458,0.0283,0.0283
11.5,0.0283,0.0283
11.542,0.0283,0.0283
11.583,0.0283,0.0283
11.625,0.0283,0.0283
11.667,0.0283,0.0283
11.708,2.1667046,0.0283
11.75,45.4807319,0.0283
11.792,48.1067455,0.0283
11.833,48.1527613,0.0283
11.875,46.8412261,0.0283
11.917,3.4345446,0.0283
11.958,0.0283,0.0283
12,0.0283,0.0283
12.042,0.0283,0.0283
12.083,0.0283,0.0283
12.125,0.0283,0.0283
12.167,0.0283,0.0283
12.208,0.0283,0.0283
12.25,0.0283,0.0283
12.292,1.2304274,0.0283
12.333,12.9389015,0.0283
12.375,13.2973493,0.0283
12.417,12.9072055,0.0283
12.458,1.3234778,0.0283
12.5,0.0283,0.0283
12.542,0.0283,0.0283
12.583,0.0283,0.0283
12.625,0.0283,0.0283
12.667,0.0283,0.0283
12.708,0.0283,0.0283
12.75,0.0283,0.0283
12.792,0.0283,0.0283
12.833,0.0283,0.0283
12.875,0.0283,0.0283
12.917,0.0283,0.0283
12.958,0.0283,0.0283
13,0.0283,0.0283
13.042,0.0283,0.0283
13.083,0.0283,0.0283
13.125,0.0283,0.0283
13.167,0.0283,0.0283
13.208,0.0283,0.0283
13.25,0.0283,0.0283
13.292,1.233597,0.0283
13.333,29.5035707,0.0283
13.375,31.0367232,0.0283
13.417,33.883024,0.0283
13.458,2.6298624,0.0283
13.5,0.0283,0.0283
13.542,0.0283,0.0283
13.583,0.0283,0.0283
13.625,0.0283,0.0283
13.667,0.0283,0.0283
13.708,1.3195724,0.0283
13.75,31.041138,0.0283
13.792,2.1935047,0.0283
13.833,0.0283,0.0283
13.875,0.0283,0.0283
13.917,0.0283,0.0283
13.958,0.0283,0.0283
14,1.5973086,0.0283
14.042,21.2067748,0.0283
14.083,20.5086421,0.0283
14.125,18.0900109,0.0283
14.167,18.3923398,0.0283
14.208,18.1317534,0.0283
14.25,18.0439385,0.0283
14.292,17.8351977,0.0283
14.333,1.1707427,0.0283
14.375,0.0283,0.0283
14.417,0.0283,0.0283
14.458,0.0283,0.0283
14.5,0.0283,0.0283
14.542,0.0283,0.0283
14.583,0.0283,0.0283
14.625,0.0283,0.0283
14.667,2.4107638,0.0283
14.708,25.8310514,0.0283
14.75,27.0548,0.0283
14.792,22.8722015,0.0283
14.833,23.7941872,0.0283
14.875,25.5946049,0.0283
14.917,35.5922874,0.0283
14.958,33.4305353,0.0283
15,30.203175,0.0283
15.042,1.772995,0.0283
15.083,0.0283,0.0283
15.125,0.0283,0.0283
15.167,0.0283,0.0283
15.208,0.0283,0.0283
15.25,0.0283,0.0283
15.292,1.4123115,0.0283
15.333,29.5294652,0.0283
15.375,30.8740548,0.0283
15.417,30.303923,0.0283
15.458,2.2685563,0.0283
15.5,0.0283,0.0283
15.542,0.0283,0.0283
15.583,0.0283,0.0283
15.625,0.0283,0.0283
15.667,0.0283,0.0283
15.708,2.1468946,0.0283
15.75,45.6420136,0.0283
15.792,47.6619261,0.0283
15.833,47.8605355,0.0283
15.875,46.4223012,0.0283
15.917,3.0179403,0.0283
15.958,0.0283,0.0283
16,0.0283,0.0283
16.042,0.0283,0.0283
16.083,0.0283,0.0283
16.125,0.0283,0.0283
16.167,0.0283,0.0283
16.208,0.0283,0.0283
16.25,0.0283,0.0283
16.292,0.0283,0.0283
16.333,0.0283,0.0283
16.375,0.0283,0.0283
16.417,0.0283,0.0283
16.458,0.0283,0.0283
16.5,0.0283,0.0283
16.542,0.0283,0.0283
16.583,0.0283,0.0283
16.625,0.0283,0.0283
16.667,0.0283,0.0283
16.708,2.7287709,0.0283
16.75,45.3155731,0.0283
16.792,47.3678608,0.0283
16.833,28.2597574,0.0283
16.875,33.9437841,0.0283
16.917,2.6140144,0.0283
16.958,0.0283,0.0283
17,0.0283,0.0283
17.042,0.0283,0.0283
17.083,0.0283,0.0283
17.125,0.0283,0.0283
17.167,0.0283,0.0283
17.208,0.0283,0.0283
17.25,3.6679347,0.0283
17.292,13.824267,0.0283
17.333,29.1955252,0.0283
17.375,1.9356634,0.0283
17.417,0.0283,0.0283
17.458,0.0283,0.0283
17.5,0.0283,0.0283
17.542,0.0283,0.0283
17.583,0.0283,0.0283
17.625,1.7050184,0.0283
17.667,25.4265312,0.0283
17.708,27.4175777,0.0283
17.75,46.5490286,0.0283
17.792,47.5135492,0.0283
17.833,39.1347965,0.0283
17.875,23.4541627,0.0283
17.917,13.426935,0.0283
17.958,1.1856851,0.0283
18,0.0283,0.0283
18.042,0.0283,0.0283
18.083,0.0283,0.0283
18.125,0.0283,0.0283
18.167,0.0283,0.0283
18.208,0.0283,0.0283
18.25,0.0283,0.0283
18.292,0.9455879,0.0283
18.333,12.4810924,0.0283
18.375,13.0987116,0.0283
18.417,13.0612707,0.0283
18.458,12.9248081,0.0283
18.5,1.182374,0.0283
18.542,0.0283,0.0283
18.583,0.0283,0.0283
18.625,0.0283,0.0283
18.667,0.0283,0.0283
18.708,1.9745476,0.0283
18.75,12.7934678,0.0283
18.792,21.900804,0.0283
18.833,22.5817586,0.0283
18.875,22.3514249,0.0283
18.917,1.8054268,0.0283
18.958,0.0283,0.0283
19,0.0283,0.0283
19.042,0.0283,0.0283
19.083,0.0283,0.0283
19.125,0.0283,0.0283
19.167,0.0283,0.0283
19.208,1.1326226,0.0283
19.25,21.1478542,0.0283
19.292,22.8711261,0.0283
19.333,30.1988734,0.0283
19.375,23.0049851,0.0283
19.417,13.6586837,0.0283
19.458,1.5899789,0.0283
19.5,0.0283,0.0283
19.542,0.0283,0.0283
19.583,0.0283,0.0283
19.625,0.0283,0.0283
19.667,0.0283,0.0283
19.708,1.2071365,0.0283
19.75,21.0381068,0.0283
19.792,22.5144329,0.0283
19.833,22.3913845,0.0283
19.875,21.9947317,0.0283
19.917,1.6876988,0.0283
19.958,0.0283,0.0283
20,0.0283,0.0283
20.042,0.0283,0.0283
20.083,0.0283,0.0283
20.125,0.0283,0.0283
20.167,0.0283,0.0283
20.208,0.0283,0.0283
20.25,0.0283,0.0283
20.292,0.0283,0.0283
20.333,0.0283,0.0283
20.375,0.0283,0.0283
20.417,0.0283,0.0283
20.458,0.0283,0.0283
20.5,0.0283,0.0283
20.542,0.0283,0.0283
20.583,0.0283,0.0283
20.625,0.0283,0.0283
20.667,0.0283,0.0283
20.708,2.3354858,0.0283
20.75,49.5811472,0.0283
20.792,24.2805227,0.0283
20.833,23.7118059,0.0283
20.875,2.009017,0.0283
20.917,0.0283,0.0283
20.958,0.0283,0.0283
21,0.0283,0.0283
21.042,0.0283,0.0283
21.083,0.0283,0.0283
21.125,0.0283,0.0283
21.167,0.0283,0.0283
21.208,0.0283,0.0283
21.25,0.0283,0.0283
21.292,0.0283,0.0283
21.333,0.0283,0.0283
21.375,0.0283,0.0283
21.417,0.0283,0.0283
21.458,0.0283,0.0283
21.5,0.0283,0.0283
21.542,0.0283,0.0283
21.583,0.0283,0.0283
21.625,0.0283,0.0283
21.667,0.0283,0.0283
21.708,1.3519193,0.0283
21.75,29.0489029,0.0283
21.792,30.80172,0.0283
21.833,31.7465155,0.0283
21.875,35.5212827,0.0283
21.917,2.5734888,0.0283
21.958,0.0283,0.0283
22,0.0283,0.0283
22.042,0.0283,0.0283
22.083,0.0283,0.0283
22.125,0.0283,0.0283
22.167,0.0283,0.0283
22.208,0.0283,0.0283
22.25,0.0283,0.0283
22.292,0.0283,0.0283
22.333,0.0283,0.0283
22.375,0.0283,0.0283
22.417,0.0283,0.0283
22.458,0.0283,0.0283
22.5,0.0283,0.0283
22.542,0.0283,0.0283
22.583,0.0283,0.0283
22.625,0.0283,0.0283
22.667,0.0283,0.0283
22.708,1.5396898,0.0283
22.75,33.0048467,0.0283
22.792,34.7151855,0.0283
22.833,34.8476012,0.0283
22.875,33.99962,0.0283
22.917,2.5831674,0.0283
22.958,0.0283,0.0283
23,0.0283,0.0283
23.042,0.0283,0.0283
23.083,0.0283,0.0283
23.125,0.0283,0.0283
23.167,0.0283,0.0283
23.208,0.0283,0.0283
23.25,0.0283,0.0283
23.292,0.0283,0.0283
23.333,0.0283,0.0283
23.375,0.0283,0.0283
23.417,0.0283,0.0283
23.458,0.0283,0.0283
23.5,0.0283,0.0283
23.542,0.0283,0.0283
23.583,0.0283,0.0283
23.625,0.0283,0.0283
23.667,0.0283,0.0283
23.708,1.4202072,0.0283
23.75,29.2486726,0.0283
23.792,30.7041699,0.0283
23.833,30.185912,0.0283
23.875,2.0430902,0.0283
23.917,0.0283,0.0283
23.958,0.0283,0.0283
24,0.0283,0.0283
24.042,0.0283,0.0283
24.083,0.0283,0.0283
24.125,0.0283,0.0283
24.167,0.0283,0.0283
24.208,0.0283,0.0283
24.25,0.0283,0.0283
24.292,0.0283,0.0283
24.333,0.0283,0.0283
24.375,0.0283,0.0283
24.417,0.0283,0.0283
24.458,0.0283,0.0283
24.5,0.0283,0.0283
24.542,0.0283,0.0283
24.583,0.0283,0.0283
24.625,0.0283,0.0283
24.667,0.0283,0.0283
24.708,3.3055249,0.0283
24.75,44.8873092,0.0283
24.792,47.4937675,0.0283
24.833,47.3783318,0.0283
24.875,45.9833116,0.0283
24.917,3.3574271,0.0283
24.958,0.0283,0.0283
25,0.0283,0.0283
25.042,0.0283,0.0283
25.083,0.0283,0.0283
25.125,0.0283,0.0283
25.167,0.0283,0.0283
25.208,0.0283,0.0283
25.25,0.0283,0.0283
25.292,0.0283,0.0283
25.333,0.0283,0.0283
25.375,0.0283,0.0283
25.417,0.0283,0.0283
25.458,0.0283,0.0283
25.5,0.0283,0.0283
25.542,0.0283,0.0283
25.583,0.0283,0.0283
25.625,0.0283,0.0283
25.667,0.0283,0.0283
25.708,2.2238706,0.0283
25.75,44.3046405,0.0283
25.792,47.2098336,0.0283
25.833,39.2326579,0.0283
25.875,37.8376377,0.0283
25.917,2.7832767,0.0283
25.958,0.0283,0.0283
26,0.0283,0.0283
26.042,0.0283,0.0283
26.083,0.0283,0.0283
26.125,0.0283,0.0283
26.167,0.0283,0.0283
26.208,0.0283,0.0283
26.25,0.0283,0.0283
26.292,0.0283,0.0283
26.333,0.0283,0.0283
26.375,0.0283,0.0283
26.417,0.0283,0.0283
26.458,0.0283,0.0283
26.5,1.5006641,0.0283
26.542,27.8263146,0.0283
26.583,13.9725024,0.0283
26.625,12.9935488,0.0283
26.667,12.9155257,0.0283
26.708,13.7756476,0.0283
26.75,36.6352839,0.0283
26.792,54.0928464,0.0283
26.833,55.2247615,0.0283
26.875,45.9109485,0.0283
26.917,3.2262283,0.0283
26.958,0.0283,0.0283
27,0.0283,0.0283
27.042,0.0283,0.0283
27.083,0.0283,0.0283
27.125,0.0283,0.0283
27.167,0.0283,0.0283
27.208,0.0283,0.0283
27.25,0.0283,0.0283
27.292,0.0283,0.0283
27.333,0.0283,0.0283
27.375,0.0283,0.0283
27.417,0.0283,0.0283
27.458,0.0283,0.0283
27.5,0.0283,0.0283
27.542,0.0283,0.0283
27.583,0.0283,0.0283
27.625,0.0283,0.0283
27.667,0.0283,0.0283
27.708,2.2325021,0.0283
27.75,25.3747422,0.0283
27.792,37.8621172,0.0283
27.833,37.788707,0.0283
27.875,15.1862328,0.0283
27.917,25.6136508,0.0283
27.958,25.9462607,0.0283
28,2.110897,0.0283
28.042,0.0283,0.0283
28.083,0.0283,0.0283
28.125,0.0283,0.0283
28.167,0.0283,0.0283
28.208,0.0283,0.0283
28.25,0.0283,0.0283
28.292,0.0283,0.0283
28.333,0.0283,0.0283
28.375,0.0283,0.0283
28.417,0.0283,0.0283
28.458,0.0283,0.0283
28.5,0.0283,0.0283
28.542,0.0283,0.0283
28.583,0.0283,0.0283
28.625,0.0283,0.0283
28.667,0.0283,0.0283
28.708,2.7430624,0.0283
28.75,36.3472748,0.0283
28.792,38.5391381,0.0283
28.833,38.0446239,0.0283
28.875,23.3159738,0.0283
28.917,26.194197,0.0283
28.958,22.1452028,0.0283
29,1.8078889,0.0283
29.042,0.0283,0.0283
29.083,0.0283,0.0283
29.125,0.0283,0.0283
29.167,0.0283,0.0283
29.208,0.0283,0.0283
29.25,0.0283,0.0283
29.292,0.0283,0.0283
29.333,0.0283,0.0283
29.375,0.0283,0.0283
29.417,0.0283,0.0283
29.458,0.0283,0.0283
29.5,0.0283,0.0283
29.542,0.0283,0.0283
29.583,0.0283,0.0283
29.625,0.0283,0.0283
29.667,0.0283,0.0283
29.708,1.4482242,0.0283
29.75,29.0859759,0.0283
29.792,30.8366139,0.0283
29.833,30.652296,0.0283
29.875,29.9642381,0.0283
29.917,2.3243639,0.0283
29.958,0.0283,0.0283
30,0.0283,0.0283
30.042,0.0283,0.0283
30.083,0.0283,0.0283
30.125,0.0283,0.0283
30.167,0.0283,0.0283
30.208,0.0283,0.0283
30.25,0.0283,0.0283
30.292,0.0283,0.0283
30.333,0.0283,0.0283
30.375,0.0283,0.0283
30.417,0.0283,0.0283
30.458,0.0283,0.0283
30.5,0.0283,0.0283
30.542,0.0283,0.0283
30.583,0.0283,0.0283
30.625,0.0283,0.0283
30.667,0.0283,0.0283
30.708,2.8195007,0.0283
30.75,36.2652048,0.0283
30.792,38.6222552,0.0283
30.833,38.6222552,0.0283
30.875,38.5574765,0.0283
30.917,37.8045833,0.0283
30.958,3.504672,0.0283
31,0.0283,0.0283
31.042,0.0283,0.0283
31.083,0.0283,0.0283
31.125,0.0283,0.0283
31.167,0.0283,0.0283
31.208,0.0283,0.0283
31.25,0.0283,0.0283
31.292,0.0283,0.0283
31.333,0.0283,0.0283
31.375,0.0283,0.0283
31.417,0.0283,0.0283
31.458,0.0283,0.0283
31.5,0.0283,0.0283
31.542,0.0283,0.0283
31.583,0.0283,0.0283
31.625,0.0283,0.0283
31.667,0.0283,0.0283
31.708,2.9641986,0.0283
31.75,36.6067575,0.0283
31.792,46.9204378,0.0283
31.833,47.2728294,0.0283
31.875,46.3751251,0.0283
31.917,3.2580941,0.0283
31.958,0.0283,0.0283
32,0.0283,0.0283
32.042,0.0283,0.0283
32.083,0.0283,0.0283
32.125,0.0283,0.0283
32.167,0.0283,0.0283
32.208,0.0283,0.0283
32.25,0.0283,0.0283
32.292,2.7995492,0.0283
32.333,43.1726688,0.0283
32.375,3.0370145,0.0283
32.417,0.0283,0.0283
32.458,0.0283,0.0283
32.5,0.0283,0.0283
32.542,0.0283,0.0283
32.583,0.0283,0.0283
32.625,0.0283,0.0283
32.667,0.0283,0.0283
32.708,1.9151742,0.0283
32.75,44.5004482,0.0283
32.792,31.9106272,0.0283
32.833,30.9229855,0.0283
32.875,30.1341796,0.0283
32.917,2.2196256,0.0283
32.958,0.0283,0.0283
33,0.0283,0.0283
33.042,0.0283,0.0283
33.083,0.0283,0.0283
33.125,0.0283,0.0283
33.167,0.0283,0.0283
33.208,0.0283,0.0283
33.25,0.0283,0.0283
33.292,0.0283,0.0283
33.333,0.0283,0.0283
33.375,0.0283,0.0283
33.417,0.0283,0.0283
33.458,0.0283,0.0283
33.5,0.0283,0.0283
33.542,0.0283,0.0283
33.583,0.0283,0.0283
33.625,0.0283,0.0283
33.667,0.0283,0.0283
33.708,1.9421158,0.0283
33.75,44.3694192,0.0283
33.792,47.1965326,0.0283
33.833,47.2461708,0.0283
33.875,45.5064283,0.0283
33.917,3.149224,0.0283
33.958,0.0283,0.0283
34,0.0283,0.0283
34.042,0.0283,0.0283
34.083,0.0283,0.0283
34.125,0.0283,0.0283
34.167,0.0283,0.0283
34.208,0.0283,0.0283
34.25,0.0283,0.0283
34.292,0.0283,0.0283
34.333,0.0283,0.0283
34.375,0.0283,0.0283
34.417,1.943078,0.0283
34.458,12.7591116,0.0283
34.5,1.0862672,0.0283
34.542,0.0283,0.0283
34.583,0.0283,0.0283
34.625,0.0283,0.0283
34.667,1.9229567,0.0283
34.708,27.590236,0.0283
34.75,45.5815931,0.0283
34.792,44.8489061,0.0283
34.833,38.445267,0.0283
34.875,30.0823057,0.0283
34.917,2.8954862,0.0283
34.958,0.0283,0.0283
35,0.0283,0.0283
35.042,0.0283,0.0283
35.083,0.0283,0.0283
35.125,0.0283,0.0283
35.167,0.0283,0.0283
35.208,0.0283,0.0283
35.25,0.0283,0.0283
35.292,0.0283,0.0283
35.333,0.0283,0.0283
35.375,0.0283,0.0283
35.417,0.0283,0.0283
35.458,0.0283,0.0283
35.5,0.0283,0.0283
35.542,0.0283,0.0283
35.583,0.0283,0.0283
35.625,0.9319473,0.0283
35.667,0.0283,0.0283
35.708,2.4120939,0.0283
35.75,21.7319945,0.0283
35.792,45.4351406,0.0283
35.833,46.2997056,0.0283
35.875,30.8467736,0.0283
35.917,2.2952432,0.0283
35.958,0.0283,0.0283
36,0.0283,0.0283
36.042,0.0283,0.0283
36.083,0.0283,0.0283
36.125,0.0283,0.0283
36.167,0.0283,0.0283
36.208,0.0283,0.0283
36.25,0.0283,0.0283
36.292,0.0283,0.0283
36.333,0.0283,0.0283
36.375,0.0283,0.0283
36.417,0.0283,0.0283
36.458,0.0283,0.0283
36.5,0.0283,0.0283
36.542,0.0283,0.0283
36.583,0.0283,0.0283
36.625,0.0283,0.0283
36.667,0.0283,0.0283
36.708,1.6922834,0.0283
36.75,36.1835027,0.0283
36.792,38.1630311,0.0283
36.833,38.3026916,0.0283
36.875,38.1918122,0.0283
36.917,2.7727208,0.0283
36.958,0.0283,0.0283
37,0.0283,0.0283
37.042,0.0283,0.0283
37.083,0.0283,0.0283
37.125,0.0283,0.0283
37.167,0.0283,0.0283
37.208,0.0283,0.0283
37.25,0.0283,0.0283
37.292,0.0283,0.0283
37.333,0.0283,0.0283
37.375,0.0283,0.0283
37.417,0.0283,0.0283
37.458,0.0283,0.0283
37.5,0.0283,0.0283
37.542,0.0283,0.0283
37.583,0.0283,0.0283
37.625,0.0283,0.0283
37.667,2.2063529,0.0283
37.708,36.0798398,0.0283
37.75,46.0768148,0.0283
37.792,46.871592,0.0283
37.833,46.6166939,0.0283
37.875,45.8336329,0.0283
37.917,30.4075859,0.0283
37.958,2.2308041,0.0283
38,0.0283,0.0283
38.042,0.0283,0.0283
38.083,0.0283,0.0283
38.125,0.0283,0.0283
38.167,0.0283,0.0283
38.208,0.0283,0.0283
38.25,0.0283,0.0283
38.292,1.76026,0.0283
38.333,11.6532891,0.0283
38.375,1.7463647,0.0283
38.417,0.0283,0.0283
38.458,0.0283,0.0283
38.5,0.0283,0.0283
38.542,0.0283,0.0283
38.583,0.0283,0.0283
38.625,0.0283,0.0283
38.667,0.4152742,0.0283
38.708,12.2939445,0.0283
38.75,22.724334,0.0283
38.792,13.3146406,0.0283
38.833,12.9413919,0.0283
38.875,12.8744058,0.0283
38.917,1.3735688,0.0283
38.958,0.0283,0.0283
39,0.0283,0.0283
39.042,0.0283,0.0283
39.083,0.0283,0.0283
39.125,0.0283,0.0283
39.167,0.0283,0.0283
39.208,0.0283,0.0283
39.25,0.0283,0.0283
39.292,0.0283,0.0283
39.333,0.0283,0.0283
39.375,0.0283,0.0283
39.417,0.0283,0.0283
39.458,0.0283,0.0283
39.5,0.0283,0.0283
39.542,0.0283,0.0283
39.583,0.0283,0.0283
39.625,0.0283,0.0283
39.667,0.0283,0.0283
39.708,0.8351613,0.0283
39.75,12.1917249,0.0283
39.792,17.2491896,0.0283
39.833,17.4421107,0.0283
39.875,21.566864,0.0283
39.917,22.0203149,0.0283
39.958,21.7611718,0.0283
40,21.5452145,0.0283
40.042,1.6855763,0.0283
40.083,0.0283,0.0283
40.125,0.0283,0.0283
40.167,0.0283,0.0283
40.208,0.0283,0.0283
40.25,0.0283,0.0283
40.292,0.0283,0.0283
40.333,0.0283,0.0283
40.375,0.0283,0.0283
40.417,0.0283,0.0283
40.458,0.0283,0.0283
40.5,0.0283,0.0283
40.542,0.0283,0.0283
40.583,0.0283,0.0283
40.625,0.0283,0.0283
40.667,0.0283,0.0283
40.708,0.0283,0.0283
40.75,0.0283,0.0283
40.792,0.0283,0.0283
40.833,0.0283,0.0283
40.875,0.0283,0.0283
40.917,0.0283,0.0283
40.958,0.0283,0.0283
41,0.0283,0.0283
41.042,0.0283,0.0283
41.083,0.0283,0.0283
41.125,0.0283,0.0283
41.167,0.0283,0.0283
41.208,0.0283,0.0283
41.25,0.0283,0.0283
41.292,0.0283,0.0283
41.333,0.0283,0.0283
41.375,0.0283,0.0283
41.417,0.0283,0.0283
41.458,0.0283,0.0283
41.5,0.0283,0.0283
41.542,0.0283,0.0283
41.583,0.0283,0.0283
