 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    1.0000,      0.00,      0.00,      0.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.0420,      9.00,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.0834,      8.99,    -99.00,    -99.00,      5.79,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.1257,      8.99,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.1670,      8.99,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.2089,      8.98,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.2507,      8.98,    -99.00,    -99.00,      5.79,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.2920,      8.97,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.3339,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.3757,      8.97,    -99.00,    -99.00,      5.79,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.4170,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.4589,      8.97,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.5007,      8.97,    -99.00,    -99.00,      5.79,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.5427,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.5839,      8.97,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.6257,      8.97,    -99.00,    -99.00,      5.79,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.6677,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.7089,      8.97,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.7507,      8.97,    -99.00,    -99.00,      5.79,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.7927,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.8344,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.8757,      8.97,    -99.00,    -99.00,      5.83,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.9177,      8.97,    -99.00,    -99.00,      5.79,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.9594,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.0014,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.0427,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.0844,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.1264,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.1677,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.2094,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.2514,      8.97,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.2927,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.3349,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.3764,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.4184,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.4599,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.5014,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.5434,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.5849,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.6264,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.6684,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.7099,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.7521,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.7933,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.8350,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.8766,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.9182,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.9602,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.0021,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.0434,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.0856,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.1271,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.1684,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.2105,      8.96,    -99.00,    -99.00,      5.81,      0.00,      0.00,    301.90,    340.05,    368.81,
    3.2521,      8.95,    -99.00,    -99.00,      5.79,      0.00,      0.00,    301.90,    340.05,    368.81,
