 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
    6.9217,      8.94,     41.21,    327.66,
    6.9636,      8.94,     38.05,    327.66,
    7.0054,      8.93,      3.33,    327.66,
    7.0469,      8.92,      0.40,    327.66,
    7.0887,      8.92,      0.40,    327.66,
    7.1306,      8.92,      0.40,    327.66,
    7.1719,      8.92,      0.40,    327.66,
    7.2137,      8.92,      0.40,    327.66,
    7.2556,      8.92,      0.40,    327.66,
    7.2969,      8.92,      0.40,    327.66,
    7.3384,      8.93,      0.40,    327.66,
    7.3802,      8.93,      0.40,    327.66,
    7.4224,      8.93,      0.40,    327.66,
    7.4636,      8.93,      0.40,    327.66,
    7.5056,      8.93,      0.40,    327.66,
    7.5476,      8.93,      0.40,    327.66,
    7.5887,      8.93,      0.40,    327.66,
    7.6306,      8.94,      0.40,    327.66,
    7.6726,      8.94,      0.40,    327.66,
    7.7137,      8.94,      1.00,    327.66,
    7.7555,      8.94,     10.39,    327.66,
    7.7974,      8.94,     14.73,    327.66,
    7.8391,      8.94,     10.44,    327.66,
    7.8810,      8.94,      0.40,    327.66,
    7.9223,      8.94,      0.40,    327.66,
    7.9643,      8.94,      0.40,    327.66,
    8.0063,      8.94,      0.40,    327.66,
    8.0476,      8.94,      0.40,    327.66,
    8.0890,      8.94,      0.40,    327.66,
    8.1313,      8.94,      0.40,    327.66,
    8.1726,      8.94,      0.40,    327.66,
    8.2147,      8.94,      0.40,    327.66,
    8.2563,      8.94,      0.41,    327.66,
    8.2976,      8.94,      6.06,    327.66,
    8.3395,      8.95,     55.64,    327.66,
    8.3809,      8.95,     57.88,    327.66,
    8.4229,      8.95,     57.87,    327.66,
    8.4645,      8.95,     56.40,    327.66,
    8.5061,      8.95,      4.38,    327.66,
    8.5483,      8.95,      0.40,    327.66,
    8.5900,      8.95,      0.40,    327.66,
    8.6316,      8.95,      0.40,    327.66,
    8.6732,      8.95,      0.40,    327.66,
    8.7149,      8.95,      0.40,    327.66,
    8.7564,      8.95,      0.40,    327.66,
    8.7980,      8.95,      0.40,    327.66,
    8.8396,      8.95,      0.40,    327.66,
    8.8815,      8.95,      0.40,    327.66,
    8.9232,      8.95,      0.40,    327.66,
    8.9651,      8.95,      0.40,    327.66,
    9.0070,      8.95,      0.62,    327.66,
    9.0483,      8.95,      0.74,    327.66,
    9.0904,      8.95,      1.10,    327.66,
    9.1320,      8.95,      1.84,    327.66,
    9.1733,      8.95,      2.03,    327.66,
    9.2154,      8.95,      2.36,    327.66,
    9.2570,      8.95,      2.32,    327.66,
    9.2990,      8.95,      0.56,    327.66,
    9.3405,      8.95,      0.40,    327.66,
    9.3820,      8.95,      0.40,    327.66,
    9.4239,      8.95,      0.40,    327.66,
    9.4653,      8.95,      1.04,    327.66,
    9.5071,      8.95,      2.41,    327.66,
    9.5485,      8.95,      2.34,    327.66,
    9.5904,      8.95,      1.07,    327.66,
    9.6321,      8.95,      7.15,    327.66,
    9.6738,      8.95,     13.97,    327.66,
    9.7155,      8.95,     15.11,    327.66,
    9.7574,      8.96,     54.36,    327.66,
    9.7988,      8.96,     51.71,    327.66,
    9.8406,      8.96,     39.90,    327.66,
    9.8825,      8.96,     38.43,    327.66,
    9.9239,      8.94,     19.10,    327.66,
    9.9656,      8.96,     53.54,    327.66,
   10.0077,      8.91,      3.33,    327.66,
   10.0490,      8.92,      0.40,    327.66,
   10.0909,      8.91,      0.40,    327.66,
   10.1325,      8.90,      0.40,    327.66,
   10.1747,      8.90,      0.40,    327.66,
   10.2158,      8.89,      0.40,    327.66,
   10.2576,      8.89,      0.40,    327.66,
   10.2997,      8.89,      0.40,    327.66,
   10.3408,      8.89,      0.40,    327.66,
   10.3826,      8.88,      0.40,    327.66,
   10.4247,      8.88,      0.40,    327.66,
   10.4661,      8.88,      0.40,    327.66,
   10.5077,      8.87,      0.40,    327.66,
   10.5493,      8.87,      0.40,    327.66,
   10.5912,      8.87,      0.40,    327.66,
   10.6330,      8.87,      0.40,    327.66,
   10.6747,      8.86,      0.40,    327.66,
   10.7161,      8.86,      0.40,    327.66,
   10.7579,      8.87,      0.40,    327.66,
   10.7995,      8.86,      0.40,    327.66,
   10.8414,      8.86,      0.40,    327.66,
   10.8834,      8.86,      0.40,    327.66,
   10.9251,      8.86,      0.40,    327.66,
   10.9663,      8.87,      0.40,    327.66,
   11.0083,      8.87,      0.40,    327.66,
   11.0503,      8.87,      0.40,    327.66,
   11.0916,      8.87,      0.40,    327.66,
   11.1336,      8.87,      0.40,    327.66,
   11.1750,      8.87,      0.40,    327.66,
   11.2170,      8.87,      0.40,    327.66,
   11.2583,      8.88,      0.40,    327.66,
   11.3003,      8.88,      0.40,    327.66,
   11.3416,      8.88,      0.40,    327.66,
   11.3838,      8.88,      0.40,    327.66,
   11.4253,      8.88,      0.40,    327.66,
   11.4673,      8.88,      0.40,    327.66,
   11.5090,      8.88,      0.40,    327.66,
   11.5503,      8.88,      0.40,    327.66,
   11.5922,      8.89,      0.40,    327.66,
   11.6340,      8.89,      0.40,    327.66,
   11.6753,      8.89,      0.40,    327.66,
   11.7172,      8.89,      0.40,    327.66,
   11.7590,      8.89,      0.40,    327.66,
   11.8005,      8.90,      0.40,    327.66,
   11.8422,      8.90,      0.40,    327.66,
   11.8838,      8.90,      0.40,    327.66,
   11.9257,      8.90,      0.40,    327.66,
   11.9671,      8.90,      0.40,    327.66,
   12.0090,      8.91,      0.40,    327.66,
   12.0510,      8.91,      0.40,    327.66,
   12.0928,      8.91,      0.40,    327.66,
   12.1340,      8.91,      0.40,    327.66,
   12.1760,      8.91,      0.40,    327.66,
   12.2178,      8.91,      0.40,    327.66,
   12.2590,      8.91,      0.40,    327.66,
   12.3010,      8.91,      0.40,    327.66,
   12.3427,      8.91,      0.40,    327.66,
   12.3847,      8.90,      0.40,    327.66,
   12.4260,      8.90,      0.40,    327.66,
   12.4677,      8.90,      0.40,    327.66,
   12.5097,      8.90,      0.40,    327.66,
