 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
    6.9219,      8.58,      1.25,    327.66,
    6.9637,      8.58,      1.25,    327.66,
    7.0049,      8.57,      1.25,    327.66,
    7.0469,      8.57,      1.25,    327.66,
    7.0882,      8.57,      1.25,    327.66,
    7.1306,      8.56,      1.25,    327.66,
    7.1719,      8.56,      1.25,    327.66,
    7.2139,      8.56,      1.25,    327.66,
    7.2556,      8.55,      1.25,    327.66,
    7.2969,      8.55,      1.25,    327.66,
    7.3389,      8.55,      1.25,    327.66,
    7.3806,      8.54,      1.25,    327.66,
    7.4219,      8.54,      1.25,    327.66,
    7.4639,      8.54,      1.25,    327.66,
    7.5056,      8.54,      1.25,    327.66,
    7.5476,      8.54,      1.25,    327.66,
    7.5889,      8.54,      1.25,    327.66,
    7.6306,      8.54,      1.25,    327.66,
    7.6726,      8.54,      1.25,    327.66,
    7.7139,      8.54,      1.25,    327.66,
    7.7556,      8.54,      1.25,    327.66,
    7.7976,      8.54,      1.25,    327.66,
    7.8389,      8.54,      1.25,    327.66,
    7.8808,      8.53,      1.25,    327.66,
    7.9226,      8.53,      1.25,    327.66,
    7.9643,      8.53,      1.25,    327.66,
    8.0063,      8.53,      1.25,    327.66,
    8.0476,      8.52,      1.25,    327.66,
    8.0890,      8.52,      1.25,    327.66,
    8.1313,      8.52,      1.25,    327.66,
    8.1726,      8.52,      1.25,    327.66,
    8.2148,      8.51,      1.25,    327.66,
    8.2563,      8.51,      1.25,    327.66,
    8.2976,      8.51,      1.25,    327.66,
    8.3398,      8.51,      1.25,    327.66,
    8.3813,      8.51,      1.25,    327.66,
    8.4233,      8.51,      1.25,    327.66,
    8.4649,      8.51,      1.25,    327.66,
    8.5063,      8.51,      1.25,    327.66,
    8.5483,      8.51,      1.25,    327.66,
    8.5899,      8.51,      4.41,    327.66,
    8.6316,      8.51,     44.57,    327.66,
    8.6732,      8.51,     46.30,    327.66,
    8.7149,      8.51,     46.36,    327.66,
    8.7566,      8.51,     44.45,    327.66,
    8.7980,      8.51,     12.86,    327.66,
    8.8400,      8.51,     15.98,    327.66,
    8.8820,      8.51,     17.13,    327.66,
    8.9232,      8.51,     35.57,    327.66,
    8.9652,      8.50,      6.06,    327.66,
    9.0067,      8.49,      4.16,    327.66,
    9.0483,      8.50,     15.31,    327.66,
    9.0901,      8.49,     15.98,    327.66,
    9.1318,      8.48,     15.97,    327.66,
    9.1735,      8.48,     16.02,    327.66,
    9.2150,      8.48,     16.08,    327.66,
    9.2566,      8.47,     17.37,    327.66,
    9.2987,      8.50,     49.47,    327.66,
    9.3400,      8.46,     18.92,    327.66,
    9.3817,      8.45,     15.78,    327.66,
    9.4234,      8.45,     15.83,    327.66,
    9.4653,      8.49,     28.45,    327.66,
    9.5070,      8.48,     37.88,    327.66,
    9.5486,      8.48,     37.84,    327.66,
    9.5905,      8.47,     37.72,    327.66,
    9.6321,      8.46,     37.73,    327.66,
    9.6738,      8.46,     37.81,    327.66,
    9.7157,      8.45,     38.35,    327.66,
    9.7570,      8.44,     54.95,    327.66,
    9.7991,      8.44,     50.59,    327.66,
    9.8405,      8.43,     48.86,    327.66,
    9.8825,      8.42,     48.15,    327.66,
    9.9240,      8.42,     47.26,    327.66,
    9.9659,      8.41,     40.95,    327.66,
   10.0075,      8.41,     42.83,    327.66,
   10.0495,      8.41,     38.17,    327.66,
   10.0906,      8.41,     36.50,    327.66,
   10.1329,      8.41,     37.58,    327.66,
   10.1746,      8.41,     37.61,    327.66,
   10.2163,      8.41,     37.80,    327.66,
   10.2576,      8.41,     37.68,    327.66,
   10.2992,      8.42,     41.11,    327.66,
   10.3412,      8.42,     40.97,    327.66,
   10.3827,      8.42,     39.82,    327.66,
   10.4243,      8.42,     66.21,    327.66,
   10.4663,      8.43,     64.82,    327.66,
   10.5078,      8.44,     59.00,    327.66,
   10.5496,      8.44,     58.30,    327.66,
   10.5912,      8.46,     77.15,    327.66,
   10.6328,      8.46,     78.16,    327.66,
   10.6747,      8.49,     85.66,    327.66,
   10.7162,      8.50,     98.56,    327.66,
   10.7578,      8.48,     69.22,    327.66,
   10.7999,      8.48,     50.19,    327.66,
   10.8415,      8.48,     50.83,    327.66,
   10.8831,      8.48,     46.83,    327.66,
   10.9248,      8.48,     62.60,    327.66,
   10.9665,      8.48,     68.58,    327.66,
   11.0083,      8.48,     58.43,    327.66,
   11.0501,      8.48,     15.17,    327.66,
   11.0920,      8.48,     12.98,    327.66,
   11.1333,      8.48,     15.60,    327.66,
   11.1753,      8.48,     15.70,    327.66,
   11.2166,      8.48,     15.72,    327.66,
   11.2584,      8.47,     17.02,    327.66,
   11.3000,      8.47,     43.07,    327.66,
   11.3420,      8.47,     38.06,    327.66,
   11.3837,      8.46,     37.57,    327.66,
   11.4254,      8.46,     37.86,    327.66,
   11.4667,      8.47,     37.13,    327.66,
   11.5084,      8.47,     40.36,    327.66,
   11.5504,      8.47,     40.32,    327.66,
   11.5920,      8.48,     40.35,    327.66,
   11.6338,      8.48,     41.06,    327.66,
   11.6754,      8.48,     54.61,    327.66,
   11.7173,      8.48,     57.50,    327.66,
   11.7587,      8.48,    101.81,    327.66,
   11.8004,      8.48,    101.83,    327.66,
   11.8422,      8.47,     40.60,    327.66,
   11.8842,      8.47,     36.52,    327.66,
   11.9259,      8.46,      5.28,    327.66,
   11.9676,      8.45,      7.86,    327.66,
   12.0090,      8.45,      4.14,    327.66,
   12.0510,      8.44,      4.16,    327.66,
   12.0923,      8.44,      3.94,    327.66,
   12.1339,      8.44,      3.60,    327.66,
   12.1760,      8.43,      3.50,    327.66,
   12.2180,      8.43,      4.25,    327.66,
   12.2596,      8.42,      5.75,    327.66,
   12.3009,      8.45,     50.63,    327.66,
   12.3424,      8.44,     55.38,    327.66,
   12.3844,      8.44,     49.81,    327.66,
   12.4260,      8.45,     49.17,    327.66,
   12.4679,      8.45,     46.42,    327.66,
   12.5094,      8.46,     46.24,    327.66,
   12.5509,      8.46,     46.05,    327.66,
   12.5928,      8.46,     46.55,    327.66,
   12.6348,      8.47,     46.73,    327.66,
   12.6762,      8.47,     55.39,    327.66,
   12.7180,      8.47,     56.56,    327.66,
   12.7596,      8.46,     41.03,    327.66,
   12.8014,      8.46,     40.01,    327.66,
   12.8430,      8.43,      3.69,    327.66,
   12.8847,      8.43,      1.25,    327.66,
   12.9262,      8.42,      1.25,    327.66,
   12.9684,      8.40,      1.25,    327.66,
   13.0097,      8.40,      2.64,    327.66,
   13.0517,      8.40,      4.32,    327.66,
   13.0935,      8.41,      4.51,    327.66,
   13.1347,      8.41,      4.45,    327.66,
   13.1767,      8.42,      4.49,    327.66,
   13.2185,      8.42,      4.50,    327.66,
   13.2604,      8.42,      4.49,    327.66,
   13.3017,      8.42,      4.49,    327.66,
   13.3435,      8.41,      4.33,    327.66,
   13.3854,      8.41,      4.22,    327.66,
   13.4267,      8.41,      4.05,    327.66,
   13.4685,      8.42,      3.96,    327.66,
   13.5104,      8.42,      3.90,    327.66,
   13.5517,      8.42,      4.02,    327.66,
   13.5935,      8.42,      3.99,    327.66,
   13.6354,      8.43,      4.02,    327.66,
   13.6774,      8.42,      4.17,    327.66,
   13.7185,      8.42,      5.81,    327.66,
   13.7604,      8.46,     47.71,    327.66,
   13.8023,      8.46,     46.47,    327.66,
   13.8436,      8.46,     48.90,    327.66,
   13.8855,      8.46,     45.55,    327.66,
