Keswick Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-KESWICK RES./SPP-POWER HOUSE WTEMP/TEMP-WATER//1HOUR/234.4.50.1.1/
Lewiston Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-LEWISTON RES./LEW-FISH HATCHERY RELEASE/FLOW//1HOUR/232.12.125.1.1/
Lewiston Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-LEWISTON RES./LEW-GENERATION RELEASE HRLY/FLOW//1HOUR/232.12.125.3.1/
Lewiston Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-LEWISTON RES./LEW-OUTLET RELEASE HRLY/FLOW//1HOUR/232.12.125.2.1/
Lewiston Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-LEWISTON RES./LEW-RES. STORAGE HRLY/STOR//1HOUR/232.12.165.1.1/
Lewiston Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-LEWISTON RES./LEW-SPILL RELEASE HRLY/FLOW//1HOUR/232.12.125.5.1/
Sacramento R Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SAC RIVER/11370700 ACID-DLY FLOW/FLOW//1DAY/237.60.125.2.1/
Sacramento R Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SAC RIVER/11374000 COW CREEK-DLY FLOW/FLOW//1DAY/237.61.125.2.1/
Sacramento R Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SAC RIVER/11376000 COTTONWOOD-DLY FLOW/FLOW//1DAY/237.62.125.2.1/
Sacramento R Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SAC RIVER/11376550 BATTLE CREEK-DLY FLOW/FLOW//1DAY/237.63.125.2.1/
Sacramento R Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SAC RIVER/BATTLE CREEK-WTEMP/TEMP-WATER//1HOUR/237.36.50.1.1/
Sacramento R Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SAC RIVER/COTTONWOOD CREEK-WTEMP/TEMP-WATER//1HOUR/237.35.50.1.1/
Sacramento R Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SAC RIVER/COW CREEK-WTEMP/TEMP-WATER//1HOUR/237.33.50.1.1/
Shasta Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SHASTA LAKE/MCCLOUD RIVER-FLOW/FLOW//1DAY/230.8.125.1.1/
Shasta Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SHASTA LAKE/MCCLOUD RIVER-TEMP/TEMP-WATER//1HOUR/230.8.50.1.1/
Shasta Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SHASTA LAKE/PIT R. BRANCH-FLOW/FLOW//1DAY/230.6.125.1.1/
Shasta Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SHASTA LAKE/PIT R. BRANCH-TEMP/TEMP-WATER//1HOUR/230.6.50.1.1/
Shasta Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SHASTA LAKE/SACRAMENTO R. A DELTA-FLOW/FLOW//1DAY/230.9.125.1.1/
Shasta Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SHASTA LAKE/SACRAMENTO R. A DELTA-TEMP/TEMP-WATER//1HOUR/230.9.50.1.1/
Shasta Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SHASTA LAKE/SHA-GENERATION RELEASE/FLOW//1HOUR/230.11.125.3.1/
Shasta Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SHASTA LAKE/SHA-OUTLET RELEASE/FLOW//1HOUR/230.11.125.5.1/
Shasta Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SHASTA LAKE/SHA-SPILL RELEASE/FLOW//1HOUR/230.11.125.4.1/
Shasta Lake Hydro MR,shared\DMS_SacTrnHydroTS.dss,/MR SAC.-SHASTA LAKE/SHA-WATER STORAGE_1/STOR//1HOUR/230.11.165.1.1/
