date,temp,elev
2001-08-09 00:00:00,13.38888889,51.366
2001-08-09 00:00:00,13.43888889,50.777
2001-08-09 00:00:00,13.48888889,50.185
2001-08-09 00:00:00,13.53888889,49.564
2001-08-09 00:00:00,13.58888889,48.968
2001-08-09 00:00:00,13.62777778,48.354
2001-08-09 00:00:00,13.66666667,47.738
2001-08-09 00:00:00,13.68888889,47.173
2001-08-09 00:00:00,13.7,46.563
2001-08-09 00:00:00,13.70555556,45.973
2001-08-09 00:00:00,13.70555556,45.424
2001-08-09 00:00:00,13.71666667,44.885
2001-08-09 00:00:00,13.71666667,44.425
2001-08-09 00:00:00,13.73888889,44.035
2001-08-09 00:00:00,13.75,43.66
2001-08-09 00:00:00,13.76666667,43.35
2001-08-09 00:00:00,13.8,43.078
2001-08-09 00:00:00,13.83888889,42.747
2001-08-09 00:00:00,13.87777778,42.367
2001-08-09 00:00:00,13.92777778,41.963
2001-08-09 00:00:00,13.98888889,41.527
2001-08-09 00:00:00,14.05555556,41.114
2001-08-09 00:00:00,14.13888889,40.691
2001-08-09 00:00:00,14.22777778,40.264
2001-08-09 00:00:00,14.32777778,39.777
2001-08-09 00:00:00,14.39444444,39.173
2001-08-09 00:00:00,14.46666667,38.481
2001-08-09 00:00:00,14.51666667,37.803
2001-08-09 00:00:00,14.57777778,37.129
2001-08-09 00:00:00,14.62777778,36.475
2001-08-09 00:00:00,14.68888889,35.888
2001-08-09 00:00:00,14.75,35.368
2001-08-09 00:00:00,14.80555556,34.959
2001-08-09 00:00:00,14.85555556,34.633
2001-08-09 00:00:00,14.91666667,34.353
2001-08-09 00:00:00,14.96666667,34.114
2001-08-09 00:00:00,15.00555556,33.863
2001-08-09 00:00:00,15.12777778,33.071
2001-08-09 00:00:00,15.16666667,32.77
2001-08-09 00:00:00,15.2,32.477
2001-08-09 00:00:00,15.23888889,32.169
2001-08-09 00:00:00,15.26666667,31.888
2001-08-09 00:00:00,15.30555556,31.654
2001-08-09 00:00:00,15.33888889,31.487
2001-08-09 00:00:00,15.38888889,31.356
2001-08-09 00:00:00,15.45,31.152
2001-08-09 00:00:00,15.51666667,30.919
2001-08-09 00:00:00,15.6,30.686
2001-08-09 00:00:00,15.7,30.451
2001-08-09 00:00:00,15.8,30.208
2001-08-09 00:00:00,15.90555556,29.895
2001-08-09 00:00:00,16.00555556,29.558
2001-08-09 00:00:00,16.10555556,29.285
