$Trinity Lake Br3 inflow year 2017 YC updated 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
257.458,0.991080278
257.5,0.991080278
257.542,0.991080278
257.583,0.991080278
257.625,0.991080278
257.667,0.991080278
257.708,0.991080278
257.75,0.991080278
257.792,0.991080278
257.833,0.991080278
257.875,0.991080278
257.917,0.991080278
257.958,0.991080278
258,0.991080278
258.042,0.991080278
258.083,0.991080278
258.125,0.991080278
258.167,0.991080278
258.208,0.991080278
258.25,0.991080278
258.292,0.991080278
258.333,0.991080278
258.375,0.991080278
258.417,0.991080278
258.458,0.991080278
258.5,0.991080278
258.542,0.991080278
258.583,0.991080278
258.625,0.991080278
258.667,0.991080278
258.708,0.991080278
258.75,0.991080278
258.792,0.991080278
258.833,0.991080278
258.875,0.991080278
258.917,0.991080278
258.958,0.991080278
259,0.991080278
259.042,0.991080278
259.083,0.991080278
259.125,0.991080278
259.167,0.991080278
259.208,0.991080278
259.25,0.991080278
259.292,0.991080278
259.333,0.991080278
259.375,0.991080278
259.417,0.991080278
259.458,0.991080278
259.5,0.991080278
259.542,0.991080278
259.583,0.991080278
259.625,0.991080278
259.667,0.991080278
259.708,0.991080278
259.75,0.991080278
259.792,0.991080278
259.833,0.991080278
259.875,0.991080278
259.917,0.991080278
259.958,0.991080278
260,0.991080278
260.042,0.991080278
260.083,0.991080278
260.125,0.991080278
260.167,0.991080278
260.208,0.991080278
260.25,0.991080278
260.292,0.991080278
260.333,0.991080278
260.375,0.991080278
260.417,0.991080278
260.458,0.991080278
260.5,0.991080278
260.542,0.991080278
260.583,0.991080278
260.625,0.991080278
260.667,0.991080278
260.708,0.991080278
260.75,0.991080278
260.792,0.991080278
260.833,0.991080278
260.875,0.991080278
260.917,0.991080278
260.958,0.991080278
261,0.991080278
261.042,0.991080278
261.083,0.991080278
261.125,0.991080278
261.167,0.991080278
261.208,0.991080278
261.25,0.991080278
261.292,0.991080278
261.333,0.991080278
261.375,0.991080278
261.417,0.991080278
261.458,0.991080278
261.5,0.991080278
261.542,0.991080278
261.583,0.991080278
261.625,0.991080278
261.667,0.991080278
261.708,0.991080278
261.75,0.991080278
261.792,0.991080278
261.833,0.991080278
261.875,0.991080278
261.917,0.991080278
261.958,0.991080278
262,0.991080278
262.042,0.991080278
262.083,0.991080278
262.125,0.991080278
262.167,0.991080278
262.208,0.991080278
262.25,0.991080278
262.292,0.991080278
262.333,0.991080278
262.375,0.991080278
262.417,0.991080278
262.458,0.991080278
262.5,0.991080278
262.542,0.991080278
262.583,0.991080278
262.625,0.991080278
262.667,0.991080278
262.708,0.991080278
262.75,0.991080278
262.792,0.991080278
262.833,0.991080278
262.875,0.991080278
262.917,0.991080278
262.958,0.991080278
263,0.991080278
263.042,0.991080278
263.083,0.991080278
263.125,0.991080278
263.167,0.991080278
263.208,0.991080278
263.25,0.991080278
263.292,0.991080278
263.333,0.991080278
263.375,0.991080278
263.417,0.991080278
263.458,0.991080278
263.5,0.991080278
263.542,0.991080278
263.583,0.991080278
263.625,0.991080278
263.667,0.991080278
263.708,0.991080278
263.75,0.991080278
263.792,0.991080278
263.833,0.991080278
263.875,0.991080278
263.917,0.991080278
263.958,0.991080278
264,0.991080278
264.042,0.991080278
264.083,0.991080278
264.125,0.991080278
264.167,0.991080278
264.208,0.991080278
264.25,0.991080278
264.292,0.991080278
264.333,0.991080278
264.375,0.991080278
264.417,0.991080278
264.458,0.991080278
264.5,0.991080278
264.542,0.991080278
264.583,0.991080278
264.625,0.991080278
264.667,0.991080278
264.708,0.991080278
264.75,0.991080278
264.792,0.991080278
264.833,0.991080278
264.875,0.991080278
264.917,0.991080278
264.958,0.991080278
265,0.991080278
265.042,0.991080278
265.083,0.991080278
265.125,0.991080278
265.167,0.991080278
265.208,0.991080278
265.25,0.991080278
265.292,0.991080278
265.333,0.991080278
265.375,0.991080278
265.417,0.991080278
265.458,0.991080278
265.5,0.991080278
265.542,0.991080278
265.583,0.991080278
265.625,0.991080278
265.667,0.991080278
265.708,0.991080278
265.75,0.991080278
265.792,0.991080278
265.833,0.991080278
265.875,0.991080278
265.917,0.991080278
265.958,0.991080278
266,0.991080278
266.042,0.991080278
266.083,0.991080278
266.125,0.991080278
266.167,0.991080278
266.208,0.991080278
266.25,0.991080278
266.292,0.991080278
266.333,0.991080278
266.375,0.991080278
266.417,0.991080278
266.458,0.991080278
266.5,0.991080278
266.542,0.991080278
266.583,0.991080278
266.625,0.991080278
266.667,0.991080278
266.708,0.991080278
266.75,0.991080278
266.792,0.991080278
266.833,0.991080278
266.875,0.991080278
266.917,0.991080278
266.958,0.991080278
267,0.991080278
267.042,0.991080278
267.083,0.991080278
267.125,0.991080278
267.167,0.991080278
267.208,0.991080278
267.25,0.991080278
267.292,0.991080278
267.333,0.991080278
267.375,0.991080278
267.417,0.991080278
267.458,0.991080278
267.5,0.991080278
267.542,0.991080278
267.583,0.991080278
267.625,0.991080278
267.667,0.991080278
267.708,0.991080278
267.75,0.991080278
267.792,0.991080278
267.833,0.991080278
267.875,0.991080278
267.917,0.991080278
267.958,0.991080278
268,0.991080278
268.042,0.991080278
268.083,0.991080278
268.125,0.991080278
268.167,0.991080278
268.208,0.991080278
268.25,0.991080278
268.292,0.991080278
268.333,0.991080278
268.375,0.991080278
268.417,0.991080278
268.458,0.991080278
268.5,0.991080278
268.542,0.991080278
268.583,0.991080278
268.625,0.991080278
268.667,0.991080278
268.708,0.991080278
268.75,0.991080278
268.792,0.991080278
268.833,0.991080278
268.875,0.991080278
268.917,0.991080278
268.958,0.991080278
269,0.991080278
269.042,0.991080278
269.083,0.991080278
269.125,0.991080278
269.167,0.991080278
269.208,0.991080278
269.25,0.991080278
269.292,0.991080278
269.333,0.991080278
269.375,0.991080278
269.417,0.991080278
269.458,0.991080278
269.5,0.991080278
269.542,0.991080278
269.583,0.991080278
269.625,0.991080278
269.667,0.991080278
269.708,0.991080278
269.75,0.991080278
269.792,0.991080278
269.833,0.991080278
269.875,0.991080278
269.917,0.991080278
269.958,0.991080278
270,0.991080278
270.042,0.991080278
270.083,0.991080278
270.125,0.991080278
270.167,0.991080278
270.208,0.991080278
270.25,0.991080278
270.292,0.991080278
270.333,0.991080278
270.375,0.991080278
