$Trinity Lake qdt year 2017 YC 08/25/22,
",,,",
JDAY,qdt
1,-1.300508893
1.042,-1.300508893
1.083,-69.4865089
1.125,30.05549111
1.167,30.10649111
1.208,-1.300508893
1.25,-1.300508893
1.292,-1.300508893
1.333,33.14349111
1.375,-1.300508893
1.417,-1.300508893
1.458,-1.455508893
1.5,-38.08550889
1.542,-45.04150889
1.583,-1.300508893
1.625,-1.300508893
1.667,-1.300508893
1.708,43.18149111
1.75,-1.300508893
1.792,-1.300508893
1.833,22.57349111
1.875,-1.300508893
1.917,23.24749111
1.958,-1.300508893
2,0.105754971
2.042,0.105754971
2.083,0.105754971
2.125,0.105754971
2.167,44.17775497
2.208,0.105754971
2.25,0.105754971
2.292,-36.78324503
2.333,-57.70924503
2.375,0.105754971
2.417,0.105754971
2.458,0.105754971
2.5,2.950754971
2.542,0.105754971
2.583,0.105754971
2.625,-3.938245029
2.667,-42.07924503
2.708,4.809754971
2.75,2.36475497
2.792,14.18075497
2.833,10.25375497
2.875,0.727754971
2.917,8.772754971
2.958,0.105754971
3,0.586771508
3.042,-27.50122849
3.083,0.586771508
3.125,-10.19822849
3.167,0.586771508
3.208,0.586771508
3.25,-54.84322849
3.292,0.586771508
3.333,0.586771508
3.375,18.32077151
3.417,0.586771508
3.458,-19.25722849
3.5,-72.86522849
3.542,6.105771508
3.583,0.586771508
3.625,57.00177151
3.667,51.85377151
3.708,-14.96822849
3.75,0.586771508
3.792,-4.117228492
3.833,0.586771508
3.875,0.586771508
3.917,0.586771508
3.958,148.2377715
4,-0.700925099
4.042,92.3210749
4.083,-0.700925099
4.125,-45.5079251
4.167,-40.5529251
4.208,-50.8559251
4.25,-28.8119251
4.292,0.077074901
4.333,11.0030749
4.375,43.5950749
4.417,-0.700925099
4.458,-0.700925099
4.5,-0.700925099
4.542,-10.0709251
4.583,-0.700925099
4.625,-0.700925099
4.667,27.2830749
4.708,-0.700925099
4.75,-0.700925099
4.792,-0.700925099
4.833,-0.700925099
4.875,-0.700925099
4.917,-15.7009251
4.958,-0.700925099
5,1.125505246
5.042,1.125505246
5.083,72.00650525
5.125,1.125505246
5.167,-0.459494754
5.208,-47.44449475
5.25,1.125505246
5.292,1.125505246
5.333,1.125505246
5.375,1.125505246
5.417,1.125505246
5.458,1.125505246
5.5,1.125505246
5.542,1.125505246
5.583,-41.83049475
5.625,1.125505246
5.667,1.125505246
5.708,55.67350525
5.75,1.125505246
5.792,1.125505246
5.833,1.125505246
5.875,1.125505246
5.917,-41.85249475
5.958,-5.281494754
6,-33.02079631
6.042,-0.073796314
6.083,-0.073796314
6.125,114.0832037
6.167,-0.073796314
6.208,-0.073796314
6.25,-25.96279631
6.292,-21.92479631
6.333,-0.073796314
6.375,-28.83679631
6.417,-0.073796314
6.458,-0.073796314
6.5,-5.873796314
6.542,-33.79279631
6.583,-27.40779631
6.625,10.31120369
6.667,-0.073796314
6.708,90.08220369
6.75,-0.073796314
6.792,-0.073796314
6.833,-0.073796314
6.875,-0.073796314
6.917,-55.99979631
6.958,-0.073796314
7,-0.804871624
7.042,92.64012838
7.083,-0.804871624
7.125,-9.611871624
7.167,-0.804871624
7.208,-0.804871624
7.25,10.13612838
7.292,119.7731284
7.333,-0.804871624
7.375,31.52112838
7.417,89.35912838
7.458,-8.493871624
7.5,-88.47187162
7.542,-0.804871624
7.583,-0.804871624
7.625,-27.69387162
7.667,-31.07187162
7.708,-8.58287162
7.75,-11.73087162
7.792,3.899128376
7.833,1.528128376
7.875,-0.804871624
7.917,-13.36087162
7.958,-71.87987162
8,-241.5986538
8.042,-246.5246538
8.083,-487.9316538
8.125,-266.2116538
8.167,-213.7466538
8.208,-360.5986538
8.25,-86.41365382
8.292,-213.7096538
8.333,-219.2656538
8.375,-225.3086538
8.417,-97.2136538
8.458,-30.93165382
8.5,78.43834618
8.542,54.21634618
8.583,73.69734618
8.625,359.7923462
8.667,349.5503462
8.708,206.7723462
8.75,442.9943462
8.792,327.7353462
8.833,334.3643462
8.875,182.6003462
8.917,317.4383462
8.958,154.0683462
9,328.882164
9.042,126.615164
9.083,182.956164
9.125,53.65916404
9.167,155.764164
9.208,41.21516404
9.25,1.363164035
9.292,38.84416404
9.333,58.43816404
9.375,88.14816404
9.417,1.363164035
9.458,-130.932836
9.5,1.363164035
9.542,-29.71083597
9.583,20.62216404
9.625,-19.21483597
9.667,-74.83783597
9.708,-108.488836
9.75,-67.82183597
9.792,10.95616404
9.833,-18.56283597
9.875,-139.554836
9.917,-43.22983597
9.958,-89.16983597
10,17.97543144
10.042,10.01243144
10.083,-40.20956856
10.125,-1.135568564
10.167,-129.2905686
10.208,60.96943144
10.25,-1.135568564
10.292,162.3094314
10.333,-2.765568564
10.375,-98.29856856
10.417,-1.135568564
10.458,63.79043144
10.5,33.90143144
10.542,144.9384314
10.583,-1.135568564
10.625,-1.135568564
10.667,-1.135568564
10.708,-23.81556856
10.75,-1.135568564
10.792,-1.135568564
10.833,38.97543144
10.875,12.49443144
10.917,-1.135568564
10.958,-1.135568564
11,0.400231929
11.042,27.99323193
11.083,203.3262319
11.125,49.34223193
11.167,0.400231929
11.208,0.400231929
11.25,127.8442319
11.292,0.400231929
11.333,-31.41476807
11.375,-48.96976807
11.417,0.400231929
11.458,0.400231929
11.5,0.400231929
11.542,0.400231929
11.583,0.400231929
11.625,0.400231929
11.667,0.400231929
11.708,-19.11076807
11.75,-44.22976807
11.792,-50.79976807
11.833,-146.4887681
11.875,0.400231929
11.917,0.400231929
11.958,-55.11076807
12,-27.11149331
12.042,8.185506688
12.083,-0.814493312
12.125,86.95650669
12.167,51.44450669
12.208,-0.814493312
12.25,-82.77749331
12.292,-0.814493312
12.333,-0.814493312
12.375,-60.90349331
12.417,-30.34049331
12.458,-38.19249331
12.5,-0.814493312
12.542,-0.814493312
12.583,-0.814493312
12.625,-0.814493312
12.667,-0.814493312
12.708,-0.814493312
12.75,-0.814493312
12.792,-0.814493312
12.833,-0.814493312
12.875,-0.814493312
12.917,-0.814493312
12.958,252.0975067
13,0.533573336
13.042,17.2445733
13.083,-35.50342666
13.125,8.444573336
13.167,16.31157334
13.208,35.34957334
13.25,0.533573336
13.292,0.533573336
13.333,0.533573336
13.375,-28.47442666
13.417,0.533573336
13.458,10.75557334
13.5,28.68157334
13.542,36.12557334
13.583,0.533573336
13.625,0.533573336
13.667,0.533573336
13.708,0.533573336
13.75,0.533573336
13.792,0.533573336
13.833,-34.07342666
13.875,12.43057334
13.917,0.533573336
13.958,0.533573336
14,-87.11462586
14.042,-1.276625861
14.083,51.68637414
14.125,-1.276625861
14.167,-1.276625861
14.208,-1.276625861
14.25,-1.276625861
14.292,-1.276625861
14.333,-1.276625861
14.375,-1.276625861
14.417,8.121374139
14.458,-1.276625861
14.5,-1.276625861
14.542,22.58137414
14.583,68.20537414
14.625,-1.276625861
14.667,-103.2396259
14.708,-1.276625861
14.75,52.18937414
14.792,-1.276625861
14.833,-46.75862586
14.875,-1.276625861
14.917,-1.276625861
14.958,-1.276625861
15,0.568956129
15.042,0.568956129
15.083,0.568956129
15.125,0.568956129
15.167,79.45195613
15.208,0.568956129
15.25,3.049956129
15.292,-13.50504387
15.333,0.568956129
15.375,-5.550043871
15.417,0.568956129
15.458,0.568956129
15.5,0.568956129
15.542,57.64995613
15.583,0.568956129
15.625,0.568956129
15.667,37.19195613
15.708,0.568956129
15.75,-66.44504387
15.792,-51.61704387
15.833,-29.20904387
15.875,0.568956129
15.917,0.568956129
15.958,21.59095613
16,69.3167386
16.042,0.575738599
16.083,0.575738599
16.125,0.575738599
16.167,0.575738599
16.208,0.575738599
16.25,0.575738599
16.292,0.575738599
16.333,0.575738599
16.375,0.575738599
16.417,0.575738599
16.458,-82.3812614
16.5,0.575738599
16.542,55.2417386
16.583,0.575738599
16.625,0.575738599
16.667,120.0407386
16.708,0.575738599
16.75,-63.1612614
16.792,-31.6792614
16.833,-61.4992614
16.875,0.575738599
16.917,140.9867386
16.958,0.575738599
17,-85.80955876
17.042,-0.554558762
17.083,-0.554558762
17.125,-0.554558762
17.167,-15.43055876
17.208,-0.554558762
17.25,-0.554558762
17.292,-0.554558762
17.333,-0.554558762
17.375,-26.78555876
17.417,-0.554558762
17.458,20.96844124
17.5,-0.554558762
17.542,-0.554558762
17.583,-0.554558762
17.625,-0.554558762
17.667,-0.554558762
17.708,-0.554558762
17.75,-22.60855876
17.792,-41.96055876
17.833,-0.554558762
17.875,-0.554558762
17.917,45.28744124
17.958,113.4874412
18,0.865969447
18.042,0.865969447
18.083,-59.57703055
18.125,-117.8140306
18.167,0.865969447
18.208,0.865969447
18.25,-157.2400306
18.292,0.865969447
18.333,14.94296945
18.375,16.12496945
18.417,49.53096945
18.458,-47.42703055
18.5,0.865969447
18.542,41.42096945
18.583,0.865969447
18.625,82.62096945
18.667,21.04196945
18.708,10.79196945
18.75,25.71696945
18.792,167.2329694
18.833,0.865969447
18.875,0.865969447
18.917,0.865969447
18.958,0.865969447
19,8.702323606
19.042,-5.525676394
19.083,-0.548676394
19.125,-0.548676394
19.167,-0.548676394
19.208,-0.548676394
19.25,-0.548676394
19.292,-0.548676394
19.333,16.65132361
19.375,31.89632361
19.417,-0.548676394
19.458,-0.548676394
19.5,-0.548676394
19.542,35.85232361
19.583,-8.892676394
19.625,-0.548676394
19.667,-0.548676394
